No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
762,20221230,TOTL,302.0,0.0,308.0,302.0,302.0,1483500.0,0.0,451321800.0,135.0,306.0,120400.0,302.0,390500.0,0.0,0.0
762,20230102,TOTL,302.0,0.0,308.0,300.0,302.0,2612200.0,0.0,788915400.0,361.0,304.0,200.0,302.0,44700.0,1800000.0,0.0
762,20230103,TOTL,302.0,0.0,310.0,302.0,304.0,1407600.0,2.0,428226600.0,913.0,304.0,4300.0,302.0,352100.0,0.0,1000.0
762,20230104,TOTL,304.0,0.0,308.0,300.0,304.0,1902000.0,0.0,577558600.0,216.0,306.0,106700.0,304.0,265500.0,0.0,1000.0
762,20230105,TOTL,304.0,0.0,306.0,300.0,302.0,2952700.0,-2.0,895555600.0,175.0,304.0,86600.0,302.0,460100.0,0.0,0.0
766,20230106,TOTL,302.0,0.0,306.0,302.0,304.0,1364200.0,2.0,414548800.0,104.0,306.0,212300.0,304.0,479700.0,0.0,0.0
768,20230109,TOTL,304.0,0.0,306.0,302.0,304.0,453000.0,0.0,138268800.0,99.0,306.0,124500.0,304.0,402500.0,0.0,0.0
768,20230110,TOTL,304.0,0.0,306.0,302.0,306.0,936700.0,2.0,285394200.0,158.0,308.0,519000.0,306.0,383300.0,0.0,0.0
769,20230111,TOTL,306.0,0.0,306.0,302.0,302.0,429200.0,-4.0,129772000.0,119.0,304.0,551200.0,302.0,186600.0,0.0,0.0
769,20230112,TOTL,302.0,0.0,306.0,296.0,304.0,483800.0,2.0,146598200.0,104.0,306.0,203600.0,302.0,244900.0,300000.0,0.0
769,20230113,TOTL,304.0,0.0,306.0,302.0,302.0,538900.0,-2.0,163046400.0,117.0,304.0,145100.0,302.0,85700.0,380000.0,0.0
769,20230116,TOTL,302.0,0.0,306.0,302.0,304.0,588500.0,2.0,178841400.0,121.0,304.0,26600.0,302.0,66100.0,0.0,0.0
769,20230117,TOTL,304.0,0.0,306.0,302.0,306.0,272900.0,2.0,82842200.0,54.0,306.0,372500.0,304.0,52400.0,0.0,0.0
769,20230118,TOTL,306.0,0.0,308.0,302.0,304.0,637500.0,-2.0,193172600.0,162.0,304.0,53800.0,302.0,192300.0,0.0,1000.0
769,20230119,TOTL,304.0,0.0,306.0,300.0,306.0,2022100.0,2.0,610937200.0,243.0,306.0,5800.0,304.0,184000.0,0.0,0.0
769,20230120,TOTL,306.0,0.0,308.0,304.0,306.0,1018100.0,0.0,312056200.0,104.0,308.0,160300.0,306.0,154800.0,0.0,0.0
770,20230124,TOTL,306.0,0.0,310.0,304.0,308.0,755600.0,2.0,231398200.0,114.0,308.0,247400.0,306.0,48500.0,1000.0,0.0
770,20230125,TOTL,308.0,0.0,324.0,306.0,320.0,2602600.0,12.0,820657800.0,444.0,320.0,25400.0,318.0,10200.0,245200.0,0.0
770,20230126,TOTL,320.0,0.0,322.0,310.0,312.0,1235200.0,-8.0,387520600.0,271.0,314.0,19500.0,312.0,105300.0,0.0,0.0
771,20230127,TOTL,312.0,0.0,318.0,308.0,314.0,715000.0,2.0,222659000.0,146.0,314.0,393500.0,312.0,211900.0,0.0,0.0
771,20230130,TOTL,314.0,0.0,314.0,310.0,314.0,595200.0,0.0,185841800.0,140.0,314.0,184400.0,312.0,28000.0,0.0,0.0
771,20230131,TOTL,314.0,0.0,316.0,312.0,314.0,461600.0,0.0,144221200.0,99.0,314.0,4500.0,312.0,145800.0,0.0,0.0
772,20230201,TOTL,314.0,0.0,318.0,314.0,314.0,1156300.0,0.0,366380000.0,157.0,316.0,14900.0,314.0,189600.0,2000.0,0.0
772,20230202,TOTL,314.0,0.0,326.0,318.0,320.0,1504000.0,6.0,483147000.0,266.0,322.0,224800.0,320.0,96600.0,2000.0,0.0
772,20230203,TOTL,320.0,0.0,320.0,316.0,320.0,345000.0,0.0,109918400.0,92.0,320.0,207300.0,318.0,185500.0,2000.0,0.0
773,20230206,TOTL,320.0,0.0,322.0,316.0,320.0,436500.0,0.0,139236400.0,105.0,320.0,166000.0,318.0,165700.0,0.0,100.0
774,20230207,TOTL,320.0,0.0,322.0,314.0,318.0,1000200.0,-2.0,317781800.0,162.0,318.0,216300.0,316.0,88000.0,0.0,0.0
777,20230208,TOTL,318.0,0.0,318.0,314.0,316.0,984200.0,-2.0,311482200.0,105.0,318.0,35900.0,316.0,562300.0,0.0,0.0
777,20230209,TOTL,316.0,0.0,320.0,316.0,318.0,205500.0,2.0,65215000.0,66.0,318.0,105000.0,316.0,120000.0,0.0,0.0
777,20230210,TOTL,318.0,0.0,318.0,310.0,310.0,768800.0,-8.0,240913200.0,174.0,312.0,26900.0,310.0,501100.0,0.0,0.0
777,20230213,TOTL,310.0,0.0,318.0,314.0,316.0,1170200.0,6.0,370533800.0,132.0,316.0,600.0,314.0,102800.0,3000.0,0.0
777,20230214,TOTL,316.0,0.0,318.0,316.0,318.0,67600.0,2.0,21416000.0,44.0,318.0,100800.0,316.0,38000.0,0.0,0.0
777,20230215,TOTL,318.0,0.0,318.0,316.0,318.0,248600.0,0.0,78785800.0,68.0,318.0,330200.0,316.0,138100.0,1000.0,0.0
778,20230216,TOTL,318.0,0.0,318.0,314.0,318.0,347300.0,0.0,109250600.0,119.0,318.0,387100.0,316.0,65100.0,0.0,0.0
