No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
764,20221230,TOWR,1095.0,1100.0,1105.0,1070.0,1100.0,43910200.0,5.0,47946673500.0,1792.0,1100.0,1783300.0,1090.0,102000.0,30891200.0,31405600.0
764,20230102,TOWR,1100.0,1090.0,1160.0,1085.0,1150.0,13062200.0,50.0,14704757000.0,1981.0,1150.0,144200.0,1145.0,186000.0,2052900.0,3003900.0
764,20230103,TOWR,1150.0,1150.0,1180.0,1120.0,1175.0,27762700.0,25.0,32312781000.0,2925.0,1175.0,1211700.0,1170.0,219600.0,15554900.0,7581400.0
764,20230104,TOWR,1175.0,1175.0,1175.0,1155.0,1165.0,16579900.0,-10.0,19362960500.0,2144.0,1170.0,61100.0,1165.0,43400.0,11208200.0,6815000.0
764,20230105,TOWR,1165.0,1165.0,1180.0,1115.0,1145.0,33117900.0,-20.0,38024752000.0,2832.0,1145.0,627500.0,1135.0,10600.0,16672600.0,13329500.0
768,20230106,TOWR,1145.0,1135.0,1160.0,1125.0,1155.0,20126000.0,10.0,23110484500.0,2090.0,1155.0,1861400.0,1150.0,6500.0,15850800.0,4424700.0
770,20230109,TOWR,1155.0,1155.0,1170.0,1130.0,1155.0,39463100.0,0.0,45275177500.0,2692.0,1155.0,6200.0,1145.0,46900.0,20278200.0,8992500.0
770,20230110,TOWR,1155.0,1150.0,1160.0,1130.0,1155.0,36245700.0,0.0,41632617500.0,3795.0,1155.0,72200.0,1150.0,3400.0,18483000.0,5859200.0
771,20230111,TOWR,1155.0,1165.0,1165.0,1135.0,1145.0,35407700.0,-10.0,40676036500.0,3367.0,1145.0,599800.0,1140.0,372100.0,17198300.0,12652300.0
771,20230112,TOWR,1145.0,1145.0,1150.0,1135.0,1145.0,16391100.0,0.0,18710045500.0,2279.0,1145.0,2145800.0,1140.0,205900.0,6066700.0,8255800.0
771,20230113,TOWR,1145.0,1145.0,1145.0,1125.0,1140.0,11041200.0,-5.0,12534939000.0,1539.0,1140.0,435500.0,1135.0,1100.0,6307400.0,6846000.0
771,20230116,TOWR,1140.0,1145.0,1150.0,1130.0,1150.0,7997900.0,10.0,9158645500.0,989.0,1150.0,719500.0,1145.0,10400.0,4441600.0,5675900.0
771,20230117,TOWR,1150.0,1150.0,1155.0,1130.0,1140.0,27299100.0,-10.0,31202227000.0,2607.0,1145.0,14000.0,1140.0,101900.0,10053100.0,6724800.0
