No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
765,20221230,TOYS,73.0,0.0,73.0,70.0,70.0,6398800.0,-3.0,450694800.0,470.0,70.0,20000.0,69.0,1783200.0,0.0,0.0
765,20230102,TOYS,70.0,0.0,72.0,68.0,70.0,5404800.0,0.0,381002000.0,532.0,70.0,66100.0,69.0,1801400.0,0.0,0.0
765,20230103,TOYS,70.0,0.0,75.0,69.0,74.0,23811900.0,4.0,1721779700.0,1325.0,74.0,1053600.0,73.0,32800.0,414500.0,0.0
765,20230104,TOYS,74.0,0.0,73.0,70.0,71.0,10216800.0,-3.0,725586100.0,702.0,71.0,402000.0,70.0,3814200.0,0.0,0.0
765,20230105,TOYS,71.0,0.0,71.0,67.0,69.0,9498200.0,-2.0,656423900.0,550.0,70.0,197400.0,69.0,12700.0,0.0,700000.0
769,20230106,TOYS,69.0,0.0,70.0,67.0,68.0,5436600.0,-1.0,370124000.0,438.0,69.0,667900.0,68.0,304000.0,134100.0,0.0
771,20230109,TOYS,68.0,0.0,69.0,66.0,67.0,4687700.0,-1.0,315258800.0,358.0,68.0,669900.0,67.0,202000.0,65900.0,152400.0
771,20230110,TOYS,67.0,0.0,68.0,65.0,67.0,3841400.0,0.0,254634300.0,386.0,67.0,173700.0,66.0,403700.0,150000.0,150000.0
772,20230111,TOYS,67.0,0.0,67.0,63.0,67.0,3382500.0,0.0,223636800.0,329.0,67.0,73400.0,66.0,282100.0,221200.0,250200.0
772,20230112,TOYS,67.0,0.0,69.0,65.0,69.0,4928400.0,2.0,329739000.0,272.0,69.0,340200.0,68.0,194900.0,76900.0,0.0
772,20230113,TOYS,69.0,0.0,70.0,66.0,67.0,17479900.0,-2.0,1191609700.0,11645.0,68.0,6600.0,67.0,477300.0,762200.0,157700.0
772,20230116,TOYS,67.0,0.0,68.0,66.0,66.0,3656100.0,-1.0,243161000.0,299.0,67.0,421800.0,66.0,452500.0,0.0,0.0
772,20230117,TOYS,66.0,0.0,67.0,65.0,65.0,2947200.0,-1.0,193386200.0,289.0,66.0,181300.0,65.0,2271900.0,0.0,152000.0
772,20230118,TOYS,65.0,0.0,67.0,65.0,67.0,1207400.0,2.0,79413500.0,166.0,67.0,728300.0,66.0,334500.0,152000.0,0.0
772,20230119,TOYS,67.0,0.0,69.0,65.0,66.0,9519000.0,-1.0,642127900.0,3093.0,67.0,474500.0,66.0,20000.0,0.0,100100.0
772,20230120,TOYS,66.0,0.0,68.0,65.0,67.0,2954200.0,1.0,196811500.0,262.0,67.0,177700.0,66.0,1234100.0,25100.0,0.0
773,20230124,TOYS,67.0,0.0,68.0,66.0,67.0,2718500.0,0.0,179922700.0,174.0,67.0,1232300.0,66.0,453000.0,0.0,351100.0
773,20230125,TOYS,67.0,0.0,67.0,66.0,66.0,1852600.0,-1.0,122863800.0,165.0,67.0,1102200.0,66.0,845100.0,149600.0,0.0
773,20230126,TOYS,66.0,0.0,67.0,66.0,67.0,3330600.0,1.0,220828300.0,233.0,67.0,1176500.0,66.0,830800.0,0.0,57900.0
774,20230127,TOYS,67.0,0.0,67.0,66.0,67.0,1675300.0,0.0,111702000.0,131.0,67.0,444900.0,66.0,803300.0,0.0,208100.0
774,20230130,TOYS,67.0,0.0,67.0,66.0,67.0,1442000.0,0.0,95942500.0,131.0,67.0,892100.0,66.0,2727300.0,242500.0,0.0
774,20230131,TOYS,67.0,0.0,67.0,66.0,66.0,3125600.0,-1.0,206857100.0,378.0,67.0,739300.0,66.0,341600.0,50000.0,927700.0
775,20230201,TOYS,66.0,0.0,67.0,66.0,67.0,741800.0,1.0,49555500.0,89.0,67.0,1410400.0,66.0,1301800.0,367700.0,0.0
775,20230202,TOYS,67.0,0.0,67.0,65.0,66.0,3135100.0,-1.0,207103800.0,264.0,67.0,612800.0,66.0,3200.0,0.0,555600.0
775,20230203,TOYS,66.0,0.0,67.0,65.0,67.0,4806600.0,1.0,319825800.0,274.0,67.0,144600.0,66.0,95700.0,755600.0,0.0
776,20230206,TOYS,67.0,0.0,73.0,66.0,72.0,39023600.0,5.0,2752167700.0,8670.0,72.0,1254800.0,71.0,2522400.0,1004600.0,604600.0
777,20230207,TOYS,72.0,0.0,73.0,70.0,70.0,6460600.0,-2.0,456454500.0,512.0,71.0,1079100.0,70.0,1284000.0,0.0,0.0
780,20230208,TOYS,70.0,0.0,72.0,70.0,72.0,5054700.0,2.0,360184700.0,475.0,72.0,51300.0,71.0,1061700.0,0.0,0.0
780,20230209,TOYS,72.0,0.0,73.0,70.0,72.0,7595900.0,0.0,542845700.0,345.0,72.0,742100.0,71.0,1852700.0,0.0,0.0
780,20230210,TOYS,72.0,0.0,72.0,70.0,70.0,4391300.0,-2.0,308807400.0,276.0,71.0,1749900.0,70.0,1234200.0,0.0,0.0
780,20230213,TOYS,70.0,0.0,71.0,69.0,70.0,2508300.0,0.0,175127800.0,194.0,70.0,298600.0,69.0,1498500.0,0.0,0.0
780,20230214,TOYS,70.0,0.0,70.0,67.0,68.0,4856400.0,-2.0,330620500.0,410.0,69.0,174200.0,68.0,754100.0,0.0,0.0
780,20230215,TOYS,68.0,0.0,69.0,66.0,68.0,1285300.0,0.0,86989300.0,138.0,68.0,167500.0,67.0,844900.0,0.0,0.0
781,20230216,TOYS,68.0,0.0,70.0,67.0,70.0,1960000.0,2.0,134987000.0,181.0,71.0,488400.0,70.0,1518700.0,0.0,0.0
781,20230217,TOYS,70.0,0.0,72.0,68.0,71.0,7490900.0,1.0,530518000.0,573.0,72.0,1368700.0,71.0,371100.0,0.0,100.0
781,20230220,TOYS,71.0,0.0,72.0,69.0,70.0,2217600.0,-1.0,155563200.0,204.0,70.0,51500.0,69.0,1173300.0,0.0,0.0
781,20230221,TOYS,70.0,0.0,71.0,69.0,71.0,1013100.0,1.0,71201000.0,162.0,71.0,734700.0,70.0,622800.0,0.0,0.0
781,20230222,TOYS,71.0,0.0,71.0,69.0,71.0,1836700.0,0.0,128834900.0,172.0,70.0,26600.0,69.0,765700.0,0.0,0.0
781,20230223,TOYS,71.0,0.0,71.0,69.0,71.0,1611900.0,0.0,113243900.0,149.0,71.0,1130900.0,70.0,210400.0,0.0,0.0
782,20230224,TOYS,71.0,0.0,71.0,69.0,70.0,1099700.0,-1.0,76600600.0,144.0,70.0,709900.0,69.0,777400.0,0.0,0.0
