No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
779,20221230,TRUS,354.0,0.0,366.0,350.0,350.0,1600.0,-4.0,570200.0,9.0,360.0,42000.0,350.0,4700.0,0.0,0.0
779,20230102,TRUS,350.0,0.0,432.0,350.0,430.0,37300.0,80.0,15623800.0,110.0,430.0,33800.0,418.0,100.0,0.0,0.0
779,20230103,TRUS,430.0,0.0,430.0,400.0,426.0,10000.0,-4.0,4152600.0,44.0,426.0,600.0,414.0,100.0,0.0,0.0
779,20230104,TRUS,426.0,0.0,428.0,414.0,426.0,1200.0,0.0,505800.0,12.0,426.0,1700.0,418.0,100.0,0.0,0.0
779,20230105,TRUS,426.0,0.0,428.0,400.0,428.0,3000.0,2.0,1246800.0,29.0,424.0,100.0,416.0,100.0,0.0,0.0
783,20230106,TRUS,428.0,0.0,430.0,412.0,426.0,5400.0,-2.0,2290200.0,10.0,426.0,8600.0,424.0,4500.0,0.0,0.0
785,20230109,TRUS,426.0,0.0,414.0,400.0,400.0,1000.0,-26.0,403200.0,6.0,400.0,300.0,0.0,0.0,0.0,0.0
785,20230110,TRUS,400.0,0.0,416.0,372.0,388.0,14100.0,-12.0,5329600.0,25.0,388.0,3000.0,376.0,1200.0,0.0,0.0
786,20230111,TRUS,388.0,0.0,388.0,364.0,368.0,9700.0,-20.0,3538000.0,15.0,366.0,900.0,364.0,300.0,0.0,0.0
786,20230112,TRUS,368.0,0.0,368.0,366.0,368.0,500.0,0.0,183800.0,5.0,368.0,1300.0,360.0,100.0,0.0,0.0
786,20230113,TRUS,368.0,0.0,358.0,352.0,352.0,1400.0,-16.0,498200.0,3.0,358.0,1000.0,352.0,500.0,0.0,0.0
786,20230116,TRUS,352.0,0.0,408.0,368.0,368.0,2200.0,16.0,837600.0,14.0,380.0,700.0,368.0,900.0,0.0,0.0
786,20230117,TRUS,368.0,0.0,400.0,370.0,384.0,2400.0,16.0,910000.0,16.0,382.0,100.0,374.0,100.0,0.0,0.0
786,20230118,TRUS,384.0,0.0,412.0,370.0,398.0,2100.0,14.0,805000.0,10.0,398.0,2500.0,384.0,100.0,0.0,0.0
786,20230119,TRUS,398.0,0.0,428.0,392.0,392.0,2700.0,-6.0,1076400.0,13.0,394.0,100.0,384.0,100.0,0.0,0.0
786,20230120,TRUS,392.0,0.0,406.0,370.0,402.0,600.0,10.0,235200.0,6.0,402.0,1900.0,390.0,100.0,0.0,0.0
787,20230124,TRUS,402.0,0.0,410.0,390.0,390.0,2500.0,-12.0,982800.0,11.0,396.0,1000.0,390.0,1700.0,0.0,0.0
787,20230125,TRUS,390.0,0.0,408.0,398.0,398.0,3100.0,8.0,1238400.0,20.0,398.0,500.0,396.0,100.0,0.0,0.0
787,20230126,TRUS,398.0,0.0,432.0,398.0,432.0,1400.0,34.0,578000.0,12.0,430.0,1100.0,410.0,100.0,0.0,0.0
788,20230127,TRUS,432.0,0.0,424.0,410.0,416.0,4200.0,-16.0,1757400.0,11.0,424.0,100.0,416.0,100.0,0.0,0.0
788,20230130,TRUS,416.0,0.0,422.0,410.0,420.0,2700.0,4.0,1115200.0,9.0,422.0,600.0,406.0,1500.0,0.0,0.0
788,20230131,TRUS,420.0,0.0,418.0,408.0,408.0,300.0,-12.0,124400.0,3.0,418.0,100.0,408.0,100.0,0.0,0.0
789,20230201,TRUS,408.0,0.0,428.0,408.0,408.0,4200.0,0.0,1736800.0,12.0,424.0,900.0,400.0,2200.0,0.0,0.0
789,20230202,TRUS,408.0,0.0,444.0,400.0,400.0,27400.0,-8.0,11296600.0,49.0,402.0,100.0,400.0,22900.0,0.0,0.0
789,20230203,TRUS,400.0,0.0,410.0,406.0,406.0,2000.0,6.0,814600.0,7.0,410.0,5100.0,400.0,700.0,0.0,0.0
790,20230206,TRUS,406.0,0.0,416.0,392.0,410.0,1000.0,4.0,408400.0,9.0,410.0,3000.0,406.0,100.0,0.0,0.0
791,20230207,TRUS,410.0,0.0,410.0,390.0,410.0,400.0,0.0,161800.0,4.0,408.0,600.0,392.0,900.0,0.0,0.0
794,20230208,TRUS,410.0,0.0,394.0,392.0,394.0,5000.0,-16.0,1967800.0,15.0,394.0,8000.0,392.0,700.0,0.0,0.0
794,20230209,TRUS,394.0,0.0,398.0,394.0,398.0,500.0,4.0,197400.0,3.0,398.0,1000.0,392.0,400.0,0.0,0.0
794,20230210,TRUS,398.0,0.0,420.0,398.0,400.0,4100.0,2.0,1637800.0,10.0,400.0,2400.0,398.0,100.0,0.0,0.0
794,20230213,TRUS,400.0,0.0,400.0,400.0,400.0,200.0,0.0,80000.0,2.0,400.0,2700.0,382.0,100.0,0.0,0.0
794,20230214,TRUS,400.0,0.0,382.0,382.0,382.0,8000.0,-18.0,3056000.0,3.0,386.0,1000.0,382.0,2300.0,0.0,0.0
794,20230215,TRUS,382.0,0.0,386.0,386.0,386.0,100.0,4.0,38600.0,1.0,386.0,1400.0,382.0,100.0,0.0,0.0
795,20230216,TRUS,386.0,0.0,386.0,370.0,386.0,5200.0,0.0,1933800.0,8.0,380.0,400.0,374.0,100.0,0.0,100.0
795,20230217,TRUS,386.0,0.0,386.0,378.0,386.0,1900.0,0.0,730200.0,3.0,386.0,200.0,380.0,100.0,0.0,0.0
795,20230220,TRUS,386.0,0.0,408.0,400.0,400.0,400.0,14.0,160800.0,3.0,398.0,100.0,386.0,200.0,0.0,0.0
795,20230221,TRUS,400.0,0.0,410.0,402.0,410.0,11100.0,10.0,4549400.0,9.0,424.0,100.0,410.0,14000.0,0.0,0.0
795,20230222,TRUS,410.0,0.0,430.0,412.0,426.0,1900.0,16.0,797000.0,13.0,424.0,1800.0,406.0,100.0,0.0,0.0
795,20230223,TRUS,426.0,0.0,428.0,406.0,428.0,1100.0,2.0,460600.0,8.0,426.0,600.0,402.0,100.0,0.0,0.0
796,20230224,TRUS,428.0,0.0,424.0,406.0,422.0,500.0,-6.0,208400.0,4.0,420.0,500.0,408.0,100.0,0.0,0.0
797,20230227,TRUS,422.0,0.0,426.0,426.0,426.0,100.0,4.0,42600.0,1.0,418.0,100.0,410.0,100.0,0.0,0.0
797,20230228,TRUS,426.0,0.0,440.0,418.0,436.0,4100.0,10.0,1755800.0,21.0,432.0,10000.0,404.0,100.0,0.0,0.0
798,20230301,TRUS,436.0,0.0,436.0,428.0,428.0,300.0,-8.0,130000.0,2.0,428.0,20800.0,0.0,0.0,0.0,0.0
798,20230302,TRUS,428.0,0.0,428.0,428.0,428.0,100.0,0.0,42800.0,1.0,428.0,21000.0,0.0,0.0,0.0,0.0
799,20230303,TRUS,428.0,0.0,428.0,402.0,428.0,600.0,0.0,249000.0,5.0,428.0,265200.0,424.0,100.0,0.0,0.0
800,20230306,TRUS,428.0,0.0,428.0,404.0,426.0,1700.0,-2.0,723200.0,8.0,426.0,900.0,410.0,100.0,0.0,0.0
800,20230307,TRUS,426.0,0.0,434.0,406.0,428.0,3500.0,2.0,1490800.0,15.0,426.0,200.0,414.0,100.0,0.0,0.0
803,20230308,TRUS,428.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,422.0,100.0,410.0,100.0,0.0,0.0
803,20230309,TRUS,428.0,0.0,428.0,422.0,422.0,600.0,-6.0,256200.0,3.0,424.0,900.0,406.0,100.0,0.0,0.0
804,20230310,TRUS,422.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,422.0,200.0,0.0,0.0,0.0,0.0
804,20230313,TRUS,422.0,0.0,428.0,422.0,428.0,1200.0,6.0,512600.0,4.0,424.0,1000.0,394.0,100.0,0.0,0.0
804,20230314,TRUS,428.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,424.0,1000.0,400.0,100.0,0.0,0.0
804,20230315,TRUS,428.0,0.0,424.0,424.0,424.0,100.0,-4.0,42400.0,1.0,424.0,11500.0,400.0,100.0,0.0,0.0
804,20230316,TRUS,424.0,0.0,438.0,430.0,430.0,400.0,6.0,172800.0,4.0,428.0,9900.0,0.0,0.0,0.0,0.0
804,20230317,TRUS,430.0,0.0,408.0,400.0,400.0,800.0,-30.0,324600.0,5.0,422.0,200.0,0.0,0.0,0.0,0.0
804,20230320,TRUS,400.0,0.0,400.0,400.0,400.0,300.0,0.0,120000.0,3.0,400.0,10300.0,390.0,100.0,0.0,0.0
804,20230321,TRUS,400.0,0.0,428.0,400.0,418.0,4100.0,18.0,1738200.0,14.0,420.0,200.0,418.0,100.0,0.0,0.0
804,20230324,TRUS,418.0,0.0,418.0,392.0,400.0,2000.0,-18.0,792800.0,11.0,400.0,900.0,394.0,100.0,0.0,0.0
804,20230327,TRUS,400.0,0.0,400.0,380.0,386.0,15400.0,-14.0,5886800.0,20.0,388.0,500.0,384.0,200.0,0.0,0.0
804,20230328,TRUS,386.0,0.0,430.0,386.0,418.0,6400.0,32.0,2602200.0,24.0,418.0,1300.0,408.0,100.0,0.0,0.0
804,20230329,TRUS,418.0,0.0,426.0,416.0,416.0,2600.0,-2.0,1082800.0,13.0,426.0,400.0,404.0,100.0,0.0,0.0
805,20230330,TRUS,416.0,0.0,436.0,416.0,416.0,300.0,0.0,128000.0,3.0,428.0,10100.0,414.0,100.0,0.0,0.0
805,20230331,TRUS,416.0,0.0,420.0,420.0,420.0,100.0,4.0,42000.0,1.0,420.0,4100.0,0.0,0.0,0.0,0.0
805,20230403,TRUS,420.0,0.0,434.0,400.0,414.0,5300.0,-6.0,2162000.0,22.0,426.0,100.0,410.0,100.0,0.0,500.0
805,20230404,TRUS,414.0,0.0,430.0,416.0,416.0,500.0,2.0,211200.0,5.0,420.0,100.0,410.0,100.0,100.0,0.0
806,20230405,TRUS,416.0,0.0,428.0,400.0,400.0,700.0,-16.0,287600.0,7.0,400.0,1400.0,388.0,200.0,100.0,0.0
806,20230406,TRUS,400.0,0.0,436.0,412.0,436.0,1500.0,36.0,645000.0,9.0,436.0,9100.0,420.0,100.0,0.0,0.0
807,20230410,TRUS,436.0,0.0,436.0,408.0,428.0,900.0,-8.0,384200.0,7.0,426.0,200.0,410.0,200.0,0.0,0.0
807,20230411,TRUS,428.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,428.0,5700.0,410.0,200.0,0.0,0.0
808,20230412,TRUS,428.0,0.0,436.0,428.0,436.0,1700.0,8.0,738800.0,8.0,434.0,10000.0,414.0,100.0,100.0,0.0
808,20230413,TRUS,436.0,0.0,436.0,410.0,436.0,253900.0,0.0,104732400.0,22.0,436.0,7000.0,414.0,200.0,100.0,0.0
808,20230414,TRUS,436.0,0.0,436.0,406.0,428.0,2500.0,-8.0,1052000.0,20.0,428.0,162900.0,410.0,100.0,0.0,0.0
808,20230417,TRUS,428.0,0.0,436.0,410.0,436.0,3000.0,8.0,1289000.0,9.0,432.0,10000.0,0.0,0.0,0.0,0.0
811,20230418,TRUS,436.0,0.0,428.0,410.0,428.0,250200.0,-8.0,103484000.0,5.0,428.0,50200.0,420.0,100.0,100.0,0.0
811,20230426,TRUS,428.0,0.0,428.0,410.0,428.0,201100.0,0.0,82969200.0,13.0,428.0,9200.0,402.0,100.0,0.0,0.0
811,20230427,TRUS,428.0,0.0,428.0,428.0,428.0,200.0,0.0,85600.0,1.0,428.0,44900.0,0.0,0.0,0.0,0.0
811,20230428,TRUS,428.0,0.0,440.0,428.0,438.0,1600.0,10.0,697000.0,6.0,438.0,21000.0,400.0,100.0,0.0,0.0
811,20230502,TRUS,438.0,0.0,438.0,438.0,438.0,500.0,0.0,219000.0,3.0,438.0,10500.0,408.0,200.0,0.0,0.0
811,20230503,TRUS,438.0,0.0,438.0,428.0,428.0,1400.0,-10.0,609800.0,6.0,428.0,6400.0,0.0,0.0,0.0,0.0
811,20230504,TRUS,428.0,0.0,436.0,434.0,434.0,1500.0,6.0,652000.0,2.0,434.0,9400.0,404.0,100.0,0.0,0.0
811,20230505,TRUS,434.0,0.0,416.0,404.0,404.0,301900.0,-30.0,124076400.0,18.0,412.0,500.0,404.0,100.0,0.0,0.0
814,20230508,TRUS,404.0,0.0,420.0,400.0,412.0,1600.0,8.0,651400.0,10.0,412.0,200.0,404.0,100.0,100.0,200.0
815,20230509,TRUS,412.0,0.0,426.0,420.0,422.0,900.0,10.0,379600.0,6.0,422.0,8900.0,412.0,100.0,100.0,0.0
815,20230510,TRUS,422.0,0.0,420.0,420.0,420.0,100.0,-2.0,42000.0,1.0,420.0,9300.0,398.0,100.0,0.0,0.0
815,20230511,TRUS,420.0,0.0,400.0,400.0,400.0,500100.0,-20.0,200040000.0,6.0,398.0,100.0,396.0,100.0,100.0,0.0
816,20230512,TRUS,400.0,0.0,398.0,396.0,396.0,200.0,-4.0,79400.0,2.0,400.0,100.0,374.0,100.0,0.0,0.0
816,20230515,TRUS,396.0,0.0,400.0,396.0,400.0,1000.0,4.0,399600.0,10.0,400.0,7900.0,392.0,200.0,900.0,0.0
816,20230516,TRUS,400.0,0.0,400.0,400.0,400.0,100.0,0.0,40000.0,1.0,400.0,7800.0,374.0,100.0,100.0,0.0
816,20230517,TRUS,400.0,0.0,400.0,400.0,400.0,100.0,0.0,40000.0,1.0,400.0,7700.0,0.0,0.0,100.0,0.0
816,20230519,TRUS,400.0,0.0,400.0,400.0,400.0,100.0,0.0,40000.0,1.0,400.0,7600.0,390.0,100.0,100.0,0.0
816,20230522,TRUS,400.0,0.0,400.0,390.0,400.0,400.0,0.0,158000.0,4.0,400.0,7400.0,378.0,100.0,200.0,0.0
816,20230523,TRUS,400.0,0.0,400.0,378.0,378.0,1000.0,-22.0,392400.0,8.0,408.0,200.0,376.0,100.0,100.0,0.0
816,20230524,TRUS,378.0,0.0,400.0,378.0,378.0,1100.0,0.0,437800.0,4.0,408.0,200.0,378.0,500.0,1000.0,0.0
816,20230525,TRUS,378.0,0.0,400.0,400.0,400.0,600.0,22.0,240000.0,2.0,398.0,14800.0,390.0,100.0,100.0,0.0
816,20230526,TRUS,400.0,0.0,398.0,398.0,398.0,100.0,-2.0,39800.0,1.0,398.0,14700.0,390.0,100.0,0.0,0.0
816,20230529,TRUS,398.0,0.0,400.0,380.0,386.0,146100.0,-12.0,56819000.0,32.0,386.0,1900.0,380.0,500.0,100.0,100.0
816,20230530,TRUS,386.0,0.0,386.0,374.0,386.0,1300.0,0.0,498800.0,5.0,386.0,2200.0,382.0,200.0,100.0,0.0
816,20230531,TRUS,386.0,0.0,386.0,386.0,386.0,100.0,0.0,38600.0,1.0,386.0,7500.0,368.0,100.0,100.0,0.0
816,20230605,TRUS,386.0,0.0,386.0,386.0,386.0,200.0,0.0,77200.0,2.0,386.0,6500.0,380.0,100.0,200.0,0.0
816,20230606,TRUS,386.0,0.0,386.0,336.0,384.0,3900.0,-2.0,1463800.0,19.0,384.0,3700.0,344.0,500.0,2100.0,0.0
816,20230607,TRUS,384.0,0.0,438.0,376.0,406.0,13300.0,22.0,5236400.0,44.0,404.0,100.0,384.0,100.0,3700.0,0.0
816,20230608,TRUS,406.0,0.0,404.0,384.0,396.0,2900.0,-10.0,1157000.0,18.0,398.0,600.0,380.0,700.0,0.0,0.0
816,20230609,TRUS,396.0,0.0,420.0,384.0,400.0,4800.0,4.0,1884400.0,25.0,400.0,200.0,392.0,100.0,0.0,200.0
818,20230612,TRUS,400.0,0.0,410.0,400.0,406.0,800.0,6.0,324800.0,7.0,406.0,800.0,400.0,100.0,200.0,0.0
818,20230613,TRUS,406.0,0.0,418.0,398.0,406.0,16000.0,0.0,6383600.0,10.0,408.0,10000.0,406.0,100.0,0.0,0.0
818,20230614,TRUS,406.0,0.0,414.0,412.0,412.0,500.0,6.0,206400.0,5.0,412.0,14600.0,406.0,200.0,0.0,0.0
