No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
780,20221230,TSPC,1380.0,0.0,1410.0,1380.0,1410.0,4728900.0,30.0,6598057000.0,445.0,1410.0,108300.0,1385.0,7800.0,3267600.0,22900.0
780,20230102,TSPC,1410.0,0.0,1420.0,1375.0,1400.0,590100.0,-10.0,819703500.0,182.0,1400.0,30500.0,1395.0,300.0,97600.0,21300.0
780,20230103,TSPC,1400.0,0.0,1405.0,1385.0,1405.0,474900.0,5.0,663044000.0,195.0,1405.0,32000.0,1395.0,9000.0,195500.0,0.0
780,20230104,TSPC,1405.0,0.0,1405.0,1385.0,1400.0,927400.0,-5.0,1294101500.0,279.0,1400.0,65400.0,1395.0,5700.0,392100.0,82000.0
780,20230105,TSPC,1400.0,0.0,1400.0,1380.0,1390.0,1062100.0,-10.0,1474058000.0,244.0,1390.0,409800.0,1385.0,2000.0,282500.0,172100.0
784,20230106,TSPC,1390.0,0.0,1400.0,1380.0,1400.0,488800.0,10.0,678862000.0,117.0,1400.0,461300.0,1395.0,500.0,354700.0,0.0
786,20230109,TSPC,1400.0,0.0,1400.0,1375.0,1395.0,727100.0,-5.0,1010149000.0,174.0,1395.0,494400.0,1385.0,9900.0,148100.0,0.0
786,20230110,TSPC,1395.0,0.0,1395.0,1385.0,1395.0,1307700.0,0.0,1822095500.0,154.0,1395.0,477300.0,1385.0,337800.0,260200.0,130000.0
787,20230111,TSPC,1395.0,0.0,1405.0,1390.0,1400.0,947700.0,5.0,1324366000.0,250.0,1400.0,874800.0,1390.0,2500.0,490200.0,251400.0
787,20230112,TSPC,1400.0,0.0,1405.0,1390.0,1400.0,424900.0,0.0,594273000.0,203.0,1400.0,347100.0,1390.0,50900.0,89600.0,211500.0
787,20230113,TSPC,1400.0,0.0,1400.0,1390.0,1395.0,870300.0,-5.0,1212891500.0,129.0,1395.0,381000.0,1390.0,7800.0,323300.0,0.0
