No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
787,20221230,UNIC,9875.0,0.0,10000.0,9900.0,9975.0,1400.0,100.0,13905000.0,10.0,9975.0,500.0,9825.0,1000.0,0.0,0.0
787,20230102,UNIC,9975.0,0.0,10000.0,9800.0,9975.0,1900.0,0.0,18877500.0,17.0,10100.0,100.0,9825.0,100.0,0.0,0.0
787,20230103,UNIC,9975.0,0.0,10075.0,10075.0,10075.0,1500.0,100.0,15112500.0,8.0,10075.0,1400.0,9875.0,500.0,100.0,0.0
787,20230104,UNIC,10075.0,0.0,10075.0,9925.0,9925.0,2300.0,-150.0,22930000.0,8.0,9925.0,400.0,9900.0,1500.0,0.0,0.0
787,20230105,UNIC,9925.0,0.0,9925.0,9925.0,9925.0,1200.0,0.0,11910000.0,3.0,9900.0,300.0,9875.0,300.0,0.0,0.0
791,20230106,UNIC,9925.0,0.0,9925.0,9925.0,9925.0,100.0,0.0,992500.0,1.0,9900.0,1000.0,9750.0,100.0,0.0,0.0
793,20230109,UNIC,9925.0,0.0,10100.0,10075.0,10075.0,200.0,150.0,2017500.0,2.0,9975.0,100.0,9725.0,200.0,0.0,0.0
793,20230110,UNIC,10075.0,0.0,0.0,0.0,10075.0,0.0,0.0,0.0,0.0,9850.0,1000.0,9525.0,500.0,0.0,0.0
794,20230111,UNIC,10075.0,0.0,10075.0,10000.0,10075.0,3100.0,0.0,31162500.0,6.0,10000.0,600.0,9575.0,100.0,0.0,0.0
794,20230112,UNIC,10075.0,0.0,9700.0,9525.0,9700.0,2200.0,-375.0,21050000.0,15.0,9800.0,239500.0,9700.0,100.0,0.0,0.0
794,20230113,UNIC,9700.0,0.0,9700.0,9675.0,9675.0,2800.0,-25.0,27092500.0,7.0,9800.0,100.0,9675.0,24500.0,0.0,0.0
