No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
792,20221230,UNVR,4760.0,4780.0,4780.0,4700.0,4700.0,13027100.0,-60.0,61409677000.0,4457.0,4710.0,1000.0,4700.0,170100.0,6678600.0,6120100.0
792,20230102,UNVR,4700.0,4700.0,4700.0,4610.0,4620.0,4681700.0,-80.0,21743580000.0,3167.0,4620.0,398900.0,4610.0,343000.0,1088400.0,451600.0
792,20230103,UNVR,4620.0,4600.0,4650.0,4570.0,4600.0,10726600.0,-20.0,49416420000.0,4638.0,4610.0,58900.0,4600.0,4500.0,3809300.0,5234700.0
792,20230104,UNVR,4600.0,4610.0,4690.0,4610.0,4640.0,6737900.0,40.0,31342583000.0,3190.0,4640.0,1200.0,4630.0,208600.0,2705300.0,4372000.0
792,20230105,UNVR,4640.0,4650.0,4730.0,4600.0,4730.0,12524500.0,90.0,58627217000.0,4424.0,4730.0,454900.0,4720.0,1400.0,3889200.0,9415800.0
796,20230106,UNVR,4730.0,4720.0,4760.0,4670.0,4760.0,8390300.0,30.0,39611161000.0,3471.0,4760.0,172000.0,4750.0,147000.0,2707300.0,5370300.0
798,20230109,UNVR,4760.0,4760.0,4770.0,4690.0,4760.0,7933400.0,0.0,37507689000.0,3882.0,4760.0,1307700.0,4740.0,4000.0,3397400.0,4990600.0
798,20230110,UNVR,4760.0,4760.0,4770.0,4660.0,4690.0,11450100.0,-70.0,53947614000.0,4503.0,4700.0,10100.0,4690.0,100.0,6026300.0,6343400.0
799,20230111,UNVR,4690.0,4680.0,4700.0,4640.0,4700.0,8374700.0,10.0,39159610000.0,3086.0,4700.0,20200.0,4680.0,300.0,4537900.0,4614300.0
799,20230112,UNVR,4700.0,4700.0,4760.0,4660.0,4760.0,8897800.0,60.0,41915986000.0,4105.0,4760.0,208500.0,4700.0,1200.0,4157900.0,7939700.0
799,20230113,UNVR,4760.0,4750.0,4790.0,4720.0,4790.0,7562200.0,30.0,36010007000.0,3751.0,4790.0,155000.0,4780.0,1200.0,3827100.0,6111600.0
799,20230116,UNVR,4790.0,4790.0,4800.0,4750.0,4770.0,5595500.0,-20.0,26714289000.0,2148.0,4770.0,259800.0,4760.0,262900.0,1588000.0,4080500.0
799,20230117,UNVR,4770.0,4770.0,4800.0,4720.0,4760.0,12333700.0,-10.0,58684315000.0,4280.0,4760.0,112700.0,4750.0,400.0,4647300.0,7389700.0
799,20230118,UNVR,4760.0,4760.0,4800.0,4720.0,4800.0,5978600.0,40.0,28483426000.0,3222.0,4800.0,323100.0,4780.0,6900.0,1637900.0,3422900.0
799,20230119,UNVR,4800.0,4800.0,4830.0,4770.0,4800.0,6578400.0,0.0,31581200000.0,3136.0,4800.0,1191900.0,4790.0,10900.0,2272700.0,3489200.0
799,20230120,UNVR,4800.0,4800.0,4830.0,4760.0,4810.0,5572600.0,10.0,26695213000.0,2977.0,4810.0,512700.0,4800.0,800.0,1841500.0,3646200.0
800,20230124,UNVR,4810.0,4810.0,4850.0,4790.0,4830.0,9011700.0,20.0,43489522000.0,3674.0,4830.0,238700.0,4810.0,35900.0,980000.0,5880900.0
800,20230125,UNVR,4830.0,4830.0,4860.0,4810.0,4850.0,5240400.0,20.0,25371607000.0,3642.0,4850.0,642600.0,4840.0,3000.0,291100.0,3578800.0
800,20230126,UNVR,4850.0,4850.0,4870.0,4760.0,4800.0,10428900.0,-50.0,50229486000.0,4458.0,4800.0,74600.0,4790.0,71200.0,1929200.0,4518000.0
801,20230127,UNVR,4800.0,4800.0,4820.0,4750.0,4750.0,10656200.0,-50.0,50749162000.0,4679.0,4750.0,79500.0,4740.0,265600.0,6216500.0,4502800.0
801,20230130,UNVR,4750.0,4750.0,4780.0,4710.0,4760.0,12561000.0,10.0,59542186000.0,3922.0,4760.0,194100.0,4750.0,200.0,8440200.0,9603900.0
801,20230131,UNVR,4760.0,4760.0,4760.0,4660.0,4660.0,20691300.0,-100.0,96860309000.0,6728.0,4670.0,6500.0,4660.0,59800.0,16506600.0,12069800.0
802,20230201,UNVR,4660.0,4630.0,4680.0,4620.0,4630.0,14205700.0,-30.0,65915883000.0,7166.0,4640.0,49900.0,4630.0,330900.0,10310300.0,5730300.0
802,20230202,UNVR,4630.0,4630.0,4740.0,4630.0,4730.0,19332800.0,100.0,90891562000.0,5173.0,4740.0,344100.0,4730.0,966000.0,8196600.0,5428400.0
802,20230203,UNVR,4730.0,4740.0,4740.0,4680.0,4690.0,8993300.0,-40.0,42304855000.0,5308.0,4700.0,100700.0,4690.0,117800.0,3865300.0,5739200.0
803,20230206,UNVR,4690.0,4690.0,4730.0,4660.0,4730.0,5956200.0,40.0,28064059000.0,3036.0,4740.0,312700.0,4730.0,892200.0,2727800.0,4530200.0
804,20230207,UNVR,4730.0,4730.0,4890.0,4720.0,4860.0,19128400.0,130.0,92232124000.0,7196.0,4860.0,27400.0,4850.0,136600.0,4842500.0,8540900.0
807,20230208,UNVR,4860.0,4860.0,5025.0,4810.0,5025.0,28380900.0,165.0,140953273000.0,11552.0,5025.0,389700.0,5000.0,29600.0,4625800.0,10195600.0
807,20230209,UNVR,5025.0,5025.0,5050.0,4920.0,4920.0,18744700.0,-105.0,93184416500.0,5519.0,4920.0,816000.0,4910.0,188900.0,3592900.0,6377600.0
807,20230210,UNVR,4920.0,4770.0,4770.0,4580.0,4580.0,80984400.0,-340.0,374254937000.0,22965.0,4590.0,30800.0,4580.0,637200.0,27453700.0,6349700.0
807,20230213,UNVR,4580.0,4580.0,4580.0,4490.0,4520.0,27597600.0,-60.0,124888485000.0,12743.0,4530.0,64400.0,4520.0,437500.0,17605700.0,3078300.0
807,20230214,UNVR,4520.0,4520.0,4570.0,4520.0,4560.0,14133100.0,40.0,64273402000.0,6587.0,4560.0,69100.0,4550.0,175000.0,5868700.0,2589800.0
807,20230215,UNVR,4560.0,4560.0,4560.0,4500.0,4550.0,14880800.0,-10.0,67330408000.0,6095.0,4550.0,354200.0,4540.0,1800.0,10453600.0,6443900.0
808,20230216,UNVR,4550.0,4550.0,4560.0,4510.0,4520.0,7728500.0,-30.0,34951615000.0,4448.0,4530.0,101900.0,4520.0,156000.0,3774900.0,1327200.0
808,20230217,UNVR,4520.0,4520.0,4530.0,4480.0,4510.0,12439300.0,-10.0,55930021000.0,6276.0,4520.0,240400.0,4510.0,92700.0,4090700.0,1757000.0
808,20230220,UNVR,4510.0,4520.0,4560.0,4500.0,4540.0,6716800.0,30.0,30395093000.0,3659.0,4540.0,481900.0,4530.0,2200.0,3123000.0,2310100.0
808,20230221,UNVR,4540.0,4540.0,4540.0,4500.0,4500.0,9337400.0,-40.0,42132162000.0,3981.0,4500.0,194700.0,4490.0,548200.0,4806000.0,2422500.0
808,20230222,UNVR,4500.0,4490.0,4490.0,4380.0,4480.0,18928300.0,-20.0,83905593000.0,10846.0,4480.0,513000.0,4470.0,500.0,3531700.0,5204000.0
808,20230223,UNVR,4480.0,4490.0,4490.0,4400.0,4400.0,12222500.0,-80.0,54067113000.0,11069.0,4410.0,4700.0,4400.0,501600.0,6303300.0,4217600.0
809,20230224,UNVR,4400.0,4400.0,4440.0,4350.0,4350.0,15569700.0,-50.0,68064061000.0,7242.0,4360.0,34400.0,4350.0,197900.0,7232100.0,1997600.0
810,20230227,UNVR,4350.0,4350.0,4350.0,4210.0,4300.0,23939900.0,-50.0,102010796000.0,10908.0,4300.0,186100.0,4280.0,5000.0,9074800.0,7725800.0
810,20230228,UNVR,4300.0,4300.0,4320.0,4180.0,4180.0,56167600.0,-120.0,236941374000.0,10194.0,4200.0,300.0,4180.0,1115600.0,43670300.0,40249500.0
811,20230301,UNVR,4180.0,4170.0,4200.0,4110.0,4150.0,20343000.0,-30.0,84506589000.0,9185.0,4160.0,57500.0,4150.0,114400.0,11803700.0,7455400.0
811,20230302,UNVR,4150.0,4160.0,4220.0,4150.0,4150.0,18610400.0,0.0,77706171000.0,8631.0,4160.0,62300.0,4150.0,1474900.0,11226200.0,5675700.0
812,20230303,UNVR,4150.0,4150.0,4170.0,4050.0,4060.0,25480200.0,-90.0,104159376000.0,9595.0,4080.0,66000.0,4060.0,208500.0,12940000.0,7289800.0
813,20230306,UNVR,4060.0,4080.0,4190.0,4070.0,4170.0,18906400.0,110.0,78486816000.0,7029.0,4180.0,20900.0,4170.0,42500.0,8602600.0,9843600.0
813,20230307,UNVR,4170.0,4160.0,4160.0,4080.0,4080.0,17118900.0,-90.0,70248867000.0,7492.0,4090.0,27000.0,4080.0,174700.0,11942500.0,6768400.0
816,20230308,UNVR,4080.0,4080.0,4120.0,4060.0,4100.0,8066200.0,20.0,33045747000.0,3634.0,4100.0,502300.0,4090.0,89200.0,5334700.0,3515800.0
816,20230309,UNVR,4100.0,4100.0,4140.0,4080.0,4100.0,12777500.0,0.0,52500870000.0,3910.0,4120.0,8400.0,4100.0,1914000.0,10053100.0,2849600.0
817,20230310,UNVR,4100.0,4100.0,4140.0,4080.0,4110.0,6408600.0,10.0,26385457000.0,3404.0,4120.0,17000.0,4110.0,1902500.0,3370300.0,1926100.0
817,20230313,UNVR,4110.0,4090.0,4180.0,4080.0,4160.0,10109400.0,50.0,41931864000.0,3450.0,4160.0,200.0,4150.0,47900.0,4640700.0,5204400.0
817,20230314,UNVR,4160.0,4140.0,4240.0,4130.0,4210.0,20394600.0,50.0,85549756000.0,6865.0,4210.0,373500.0,4200.0,4300.0,11862600.0,10521500.0
817,20230315,UNVR,4210.0,4210.0,4230.0,4100.0,4100.0,10278300.0,-110.0,42502501000.0,4727.0,4110.0,27700.0,4100.0,87000.0,6638600.0,3162900.0
817,20230316,UNVR,4100.0,4100.0,4120.0,4040.0,4070.0,8064500.0,-30.0,32837905000.0,4197.0,4080.0,16500.0,4070.0,18700.0,3744500.0,3506500.0
817,20230317,UNVR,4070.0,4070.0,4170.0,4070.0,4160.0,16618100.0,90.0,68916378000.0,3987.0,4160.0,141400.0,4140.0,2700.0,10512300.0,12113300.0
817,20230320,UNVR,4160.0,4160.0,4170.0,4100.0,4160.0,3705900.0,0.0,15344955000.0,2991.0,4160.0,223300.0,4150.0,5300.0,2321100.0,1562000.0
817,20230321,UNVR,4160.0,4160.0,4200.0,4150.0,4200.0,5267000.0,40.0,22031818000.0,2375.0,4200.0,192600.0,4180.0,5400.0,2783000.0,4366300.0
817,20230324,UNVR,4200.0,4370.0,4370.0,4240.0,4270.0,20724900.0,70.0,89006279000.0,6425.0,4280.0,10600.0,4270.0,680500.0,7766600.0,16950200.0
817,20230327,UNVR,4270.0,4270.0,4290.0,4230.0,4290.0,6197800.0,20.0,26487149000.0,3926.0,4300.0,121100.0,4290.0,81500.0,2928000.0,4498800.0
817,20230328,UNVR,4290.0,4290.0,4320.0,4280.0,4300.0,4810200.0,10.0,20679209000.0,3494.0,4300.0,196100.0,4290.0,3400.0,2135300.0,3277200.0
817,20230329,UNVR,4300.0,4300.0,4370.0,4300.0,4360.0,9209300.0,60.0,40002648000.0,4284.0,4360.0,284400.0,4350.0,21300.0,2765600.0,6644400.0
818,20230330,UNVR,4360.0,4360.0,4370.0,4260.0,4260.0,5419800.0,-100.0,23277834000.0,3688.0,4270.0,500.0,4260.0,251200.0,1545000.0,1409900.0
818,20230331,UNVR,4260.0,4270.0,4360.0,4260.0,4350.0,10607100.0,90.0,45915727000.0,3663.0,4350.0,844100.0,4340.0,200.0,5633800.0,8633700.0
818,20230403,UNVR,4350.0,4350.0,4350.0,4250.0,4290.0,8142400.0,-60.0,34799073000.0,6669.0,4290.0,79600.0,4270.0,700.0,3900600.0,3637200.0
818,20230404,UNVR,4290.0,4280.0,4290.0,4220.0,4290.0,10338100.0,0.0,44143390000.0,4225.0,4290.0,514700.0,4250.0,31900.0,4634200.0,6259500.0
819,20230405,UNVR,4290.0,4290.0,4320.0,4250.0,4250.0,7778000.0,-40.0,33266938000.0,3783.0,4270.0,6500.0,4250.0,674900.0,2254400.0,5455400.0
818,20230406,UNVR,4250.0,4250.0,4290.0,4230.0,4250.0,5191600.0,0.0,22064723000.0,3114.0,4250.0,147700.0,4240.0,59600.0,1174900.0,3760300.0
819,20230410,UNVR,4250.0,4250.0,4290.0,4230.0,4290.0,3684200.0,40.0,15703013000.0,2059.0,4290.0,121200.0,4250.0,3100.0,1446000.0,801000.0
819,20230411,UNVR,4290.0,4290.0,4290.0,4200.0,4200.0,8800200.0,-90.0,37084590000.0,5303.0,4210.0,21900.0,4200.0,1047700.0,5480800.0,2295100.0
820,20230412,UNVR,4200.0,4210.0,4220.0,4180.0,4190.0,9416400.0,-10.0,39480024000.0,3905.0,4190.0,505800.0,4180.0,492100.0,4797000.0,5424700.0
820,20230413,UNVR,4190.0,4160.0,4180.0,4100.0,4100.0,17309800.0,-90.0,71343223000.0,7286.0,4110.0,162100.0,4100.0,1423000.0,9092100.0,6165300.0
820,20230414,UNVR,4100.0,4120.0,4220.0,4120.0,4150.0,18199400.0,50.0,76079887000.0,6371.0,4160.0,600.0,4150.0,597500.0,7170000.0,10836200.0
820,20230417,UNVR,4150.0,4160.0,4180.0,4090.0,4130.0,11180400.0,-20.0,46028532000.0,5487.0,4130.0,325600.0,4120.0,100.0,6261600.0,3469200.0
823,20230418,UNVR,4130.0,4130.0,4150.0,4090.0,4090.0,8491800.0,-40.0,34902150000.0,4669.0,4100.0,1000.0,4090.0,449700.0,3686700.0,4330200.0
823,20230426,UNVR,4090.0,4090.0,4100.0,3960.0,4100.0,32563400.0,10.0,131861310000.0,14210.0,4100.0,606100.0,4090.0,200.0,24525900.0,13260300.0
823,20230427,UNVR,4100.0,4150.0,4470.0,4150.0,4400.0,67863100.0,300.0,296017286000.0,18788.0,4410.0,4500.0,4400.0,10400.0,22138200.0,47528300.0
823,20230428,UNVR,4400.0,4400.0,4440.0,4360.0,4400.0,14421200.0,0.0,63416883000.0,5064.0,4400.0,139200.0,4390.0,11500.0,6305100.0,7810400.0
823,20230502,UNVR,4400.0,4400.0,4410.0,4280.0,4400.0,15547700.0,0.0,67982617000.0,8075.0,4410.0,617500.0,4400.0,189000.0,8637500.0,5013300.0
823,20230503,UNVR,4400.0,4400.0,4420.0,4350.0,4400.0,16334700.0,0.0,71737853000.0,5942.0,4410.0,683400.0,4400.0,67000.0,12205700.0,6081400.0
823,20230504,UNVR,4400.0,4400.0,4480.0,4400.0,4450.0,13037900.0,50.0,57983444000.0,5386.0,4450.0,50100.0,4440.0,1200.0,3732900.0,4490700.0
823,20230505,UNVR,4450.0,4450.0,4490.0,4390.0,4490.0,16881100.0,40.0,75198419000.0,5925.0,4490.0,257000.0,4480.0,2300.0,10389600.0,4119500.0
827,20230508,UNVR,4490.0,4480.0,4490.0,4430.0,4470.0,8305100.0,-20.0,37050520000.0,3726.0,4480.0,127900.0,4470.0,65000.0,4701600.0,6253300.0
828,20230509,UNVR,4470.0,4470.0,4470.0,4360.0,4390.0,13266200.0,-80.0,58435943000.0,5587.0,4390.0,16800.0,4380.0,1053400.0,10342400.0,6276100.0
828,20230510,UNVR,4390.0,4420.0,4500.0,4400.0,4500.0,12469900.0,110.0,55527809000.0,4910.0,4500.0,618900.0,4490.0,23300.0,5556000.0,7688400.0
828,20230511,UNVR,4500.0,4500.0,4500.0,4370.0,4430.0,10646200.0,-70.0,47029167000.0,4821.0,4430.0,39700.0,4420.0,374400.0,5405700.0,4165200.0
829,20230512,UNVR,4430.0,4430.0,4430.0,4370.0,4400.0,5188200.0,-30.0,22794957000.0,3503.0,4410.0,76500.0,4400.0,235900.0,4130700.0,2244800.0
829,20230515,UNVR,4400.0,4450.0,4530.0,4400.0,4500.0,17448600.0,100.0,78206300000.0,6959.0,4500.0,19200.0,4490.0,4200.0,4180500.0,5626000.0
829,20230516,UNVR,4500.0,4500.0,4510.0,4460.0,4510.0,7168700.0,10.0,32197502000.0,3519.0,4510.0,142700.0,4500.0,10500.0,4282600.0,3030500.0
829,20230517,UNVR,4510.0,4500.0,4510.0,4420.0,4460.0,8558100.0,-50.0,38244696000.0,4083.0,4460.0,2500.0,4450.0,109100.0,6119700.0,2799300.0
829,20230519,UNVR,4460.0,4460.0,4500.0,4430.0,4430.0,7880300.0,-30.0,35072650000.0,3647.0,4450.0,32200.0,4430.0,216700.0,5073500.0,3074800.0
829,20230522,UNVR,4430.0,4430.0,4480.0,4390.0,4420.0,11017000.0,-10.0,48739730000.0,4846.0,4430.0,1500.0,4420.0,65600.0,7540000.0,5363700.0
829,20230523,UNVR,4420.0,4420.0,4480.0,4420.0,4450.0,12348900.0,30.0,55079020000.0,3036.0,4460.0,1500.0,4450.0,37100.0,5881400.0,7682600.0
829,20230524,UNVR,4450.0,4450.0,4450.0,4390.0,4410.0,10230500.0,-40.0,45099016000.0,4497.0,4410.0,10000.0,4400.0,22300.0,6718600.0,5257400.0
829,20230525,UNVR,4410.0,4410.0,4450.0,4370.0,4410.0,14544600.0,0.0,64133322000.0,4845.0,4420.0,6700.0,4410.0,31900.0,10560800.0,7578300.0
829,20230526,UNVR,4410.0,4410.0,4430.0,4380.0,4380.0,8749200.0,-30.0,38504788000.0,4654.0,4410.0,12600.0,4380.0,56800.0,5588400.0,5618100.0
829,20230529,UNVR,4380.0,4400.0,4550.0,4380.0,4550.0,26644200.0,170.0,120068380000.0,8016.0,4550.0,619800.0,4540.0,20000.0,8592500.0,16565200.0
829,20230530,UNVR,4550.0,4550.0,4600.0,4510.0,4540.0,15479600.0,-10.0,70654167000.0,6551.0,4550.0,4800.0,4540.0,55300.0,8879300.0,6658000.0
829,20230531,UNVR,4540.0,4540.0,4580.0,4500.0,4530.0,122232900.0,-10.0,553974230000.0,8102.0,4550.0,4500.0,4530.0,6100.0,114850000.0,107768800.0
829,20230605,UNVR,4530.0,4530.0,4550.0,4460.0,4500.0,14140400.0,-30.0,63723703000.0,5997.0,4510.0,7600.0,4500.0,35700.0,8975300.0,9302100.0
829,20230606,UNVR,4500.0,4500.0,4510.0,4440.0,4460.0,6401000.0,-40.0,28569725000.0,4601.0,4470.0,16100.0,4460.0,124400.0,3423000.0,3193300.0
829,20230607,UNVR,4460.0,4470.0,4570.0,4460.0,4570.0,25199600.0,110.0,114184488000.0,8442.0,4570.0,8900.0,4560.0,6100.0,15427600.0,20366700.0
829,20230608,UNVR,4570.0,4570.0,4630.0,4540.0,4600.0,15742600.0,30.0,72224246000.0,6182.0,4600.0,651400.0,4590.0,1400.0,6652400.0,8307100.0
829,20230609,UNVR,4600.0,4580.0,4600.0,4540.0,4550.0,11395500.0,-50.0,52007350000.0,5009.0,4580.0,18700.0,4550.0,154300.0,8432100.0,6681000.0
831,20230612,UNVR,4550.0,4590.0,4610.0,4560.0,4610.0,8165300.0,60.0,37491580000.0,3476.0,4610.0,252600.0,4600.0,1400.0,4242000.0,4444400.0
831,20230613,UNVR,4610.0,4610.0,4630.0,4480.0,4510.0,19167100.0,-100.0,86786578000.0,6502.0,4510.0,316400.0,4500.0,101100.0,7472700.0,11213300.0
831,20230614,UNVR,4510.0,4500.0,4510.0,4410.0,4440.0,13107000.0,-70.0,58271650000.0,7678.0,4440.0,2650300.0,4430.0,87300.0,9921600.0,1935600.0
831,20230615,UNVR,4440.0,4440.0,4520.0,4410.0,4520.0,10369100.0,80.0,46569556000.0,3743.0,4520.0,601200.0,4510.0,700.0,6031200.0,7380200.0
831,20230616,UNVR,4520.0,4500.0,4500.0,4390.0,4390.0,17780000.0,-130.0,78524348000.0,5797.0,4420.0,1200.0,4390.0,1145300.0,14622400.0,9296900.0
831,20230619,UNVR,4390.0,4390.0,4420.0,4320.0,4380.0,10327500.0,-10.0,45179005000.0,5489.0,4380.0,4213300.0,4370.0,152700.0,8291200.0,2381400.0
831,20230620,UNVR,4380.0,4380.0,4390.0,4300.0,4300.0,14414700.0,-80.0,62204010000.0,7240.0,4310.0,37300.0,4300.0,21900.0,10443800.0,4199000.0
831,20230621,UNVR,4300.0,4300.0,4370.0,4300.0,4360.0,11129000.0,60.0,48231934000.0,6351.0,4360.0,937100.0,4350.0,35200.0,7542600.0,2832900.0
832,20230622,UNVR,4360.0,4370.0,4370.0,4250.0,4250.0,15969700.0,-110.0,68472172000.0,8570.0,4250.0,86500.0,4240.0,159100.0,10658100.0,3004900.0
832,20230623,UNVR,4250.0,4250.0,4290.0,4210.0,4270.0,7696300.0,20.0,32840122000.0,4050.0,4270.0,107200.0,4260.0,141200.0,3614400.0,2236700.0
832,20230626,UNVR,4270.0,4270.0,4270.0,4230.0,4230.0,6553900.0,-40.0,27796038000.0,4756.0,4240.0,2000.0,4230.0,577000.0,4710600.0,2584900.0
832,20230627,UNVR,4230.0,4230.0,4280.0,4230.0,4260.0,10540900.0,30.0,44916175000.0,4658.0,4270.0,87500.0,4260.0,26200.0,7669700.0,7256600.0
832,20230703,UNVR,4260.0,4250.0,4310.0,4210.0,4310.0,11055600.0,50.0,47268283000.0,4260.0,4310.0,12700.0,4300.0,58100.0,6809700.0,6658400.0
832,20230704,UNVR,4310.0,4320.0,4340.0,4300.0,4330.0,3652500.0,20.0,15791934000.0,2217.0,4330.0,62300.0,4320.0,4600.0,1278200.0,1272500.0
832,20230705,UNVR,4330.0,4330.0,4330.0,4280.0,4310.0,6305600.0,-20.0,27170465000.0,3017.0,4320.0,10800.0,4310.0,1743600.0,4456500.0,1794800.0
832,20230706,UNVR,4310.0,4260.0,4290.0,4220.0,4250.0,12604100.0,-60.0,53425342000.0,6064.0,4250.0,358100.0,4240.0,29400.0,7506700.0,3382800.0
833,20230707,UNVR,4250.0,4230.0,4240.0,4210.0,4240.0,6160700.0,-10.0,26006174000.0,3516.0,4240.0,236200.0,4230.0,13200.0,3726400.0,3064400.0
836,20230710,UNVR,4240.0,4240.0,4320.0,4240.0,4250.0,7747800.0,10.0,33084794000.0,3336.0,4260.0,10000.0,4250.0,17900.0,2828500.0,5355800.0
836,20230711,UNVR,4250.0,4260.0,4280.0,4240.0,4250.0,4794700.0,0.0,20391777000.0,2811.0,4250.0,1000.0,4240.0,273300.0,2458200.0,1832600.0
836,20230712,UNVR,4250.0,4250.0,4260.0,4200.0,4210.0,16641400.0,-40.0,70094688000.0,6238.0,4220.0,10900.0,4210.0,163800.0,2085200.0,8505700.0
836,20230713,UNVR,4210.0,4220.0,4250.0,4210.0,4250.0,6041000.0,40.0,25597401000.0,2606.0,4250.0,128400.0,4240.0,1100.0,1028000.0,3684900.0
836,20230714,UNVR,4250.0,4250.0,4290.0,4230.0,4250.0,10570200.0,0.0,45027853000.0,3502.0,4260.0,2100.0,4250.0,58000.0,3422700.0,7961300.0
836,20230717,UNVR,4250.0,4260.0,4290.0,4250.0,4270.0,9589000.0,20.0,40975487000.0,3232.0,4280.0,12100.0,4270.0,19900.0,1484100.0,7732600.0
836,20230718,UNVR,4270.0,4270.0,4300.0,4230.0,4270.0,6600500.0,0.0,28101201000.0,2794.0,4270.0,133100.0,4260.0,5000.0,4004400.0,3292200.0
836,20230720,UNVR,4270.0,4260.0,4270.0,4210.0,4220.0,8607100.0,-50.0,36385520000.0,4351.0,4230.0,18500.0,4220.0,510400.0,7779300.0,4002300.0
836,20230721,UNVR,4220.0,4220.0,4290.0,4220.0,4290.0,6015200.0,70.0,25683536000.0,2573.0,4290.0,589800.0,4280.0,100.0,2577100.0,3768400.0
837,20230724,UNVR,4290.0,4290.0,4340.0,4270.0,4290.0,8770000.0,0.0,37790224000.0,4473.0,4310.0,4500.0,4290.0,116000.0,2700200.0,5157400.0
838,20230725,UNVR,4290.0,4190.0,4190.0,4020.0,4050.0,49204900.0,-240.0,200593535000.0,17624.0,4060.0,54300.0,4050.0,3009200.0,25872400.0,9655400.0
838,20230726,UNVR,4050.0,4050.0,4070.0,3950.0,3970.0,37401200.0,-80.0,148841351000.0,14631.0,3980.0,94700.0,3970.0,668300.0,23773500.0,11406100.0
838,20230727,UNVR,3970.0,3970.0,4000.0,3840.0,3840.0,40562400.0,-130.0,158262819000.0,19087.0,3850.0,5700.0,3840.0,953800.0,24973900.0,4484100.0
838,20230728,UNVR,3840.0,3850.0,3900.0,3810.0,3870.0,20221700.0,30.0,78015687000.0,7529.0,3870.0,332100.0,3860.0,15600.0,11155800.0,4746200.0
839,20230731,UNVR,3870.0,3870.0,3890.0,3830.0,3850.0,19175000.0,-20.0,73772546000.0,5874.0,3860.0,59500.0,3850.0,3200.0,12145700.0,8697700.0
839,20230801,UNVR,3850.0,3830.0,3850.0,3770.0,3770.0,20623500.0,-80.0,78365794000.0,9667.0,3780.0,42400.0,3770.0,159200.0,12587700.0,4128300.0
840,20230802,UNVR,3770.0,3770.0,3800.0,3680.0,3690.0,28813900.0,-80.0,106892925000.0,9518.0,3700.0,93500.0,3690.0,3259100.0,21752000.0,10133900.0
840,20230803,UNVR,3690.0,3690.0,3830.0,3670.0,3770.0,26351700.0,80.0,99262850000.0,8643.0,3780.0,1000.0,3770.0,1424600.0,14335700.0,8743800.0
840,20230804,UNVR,3770.0,3780.0,3810.0,3730.0,3740.0,18183400.0,-30.0,68296832000.0,5785.0,3750.0,7000.0,3740.0,427300.0,16064300.0,8504900.0
842,20230807,UNVR,3740.0,3740.0,3770.0,3720.0,3720.0,7680200.0,-20.0,28741847000.0,4010.0,3730.0,300.0,3720.0,357500.0,2552900.0,1813800.0
