No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
798,20221230,VIVA,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,6.0,50.0,43045300.0,0.0,0.0,0.0,0.0
798,20230102,VIVA,50.0,0.0,50.0,50.0,50.0,3800.0,0.0,190000.0,11.0,50.0,42816700.0,0.0,0.0,0.0,0.0
798,20230103,VIVA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,62415300.0,0.0,0.0,0.0,0.0
798,20230104,VIVA,50.0,0.0,50.0,50.0,50.0,3500.0,0.0,175000.0,6.0,50.0,65886600.0,0.0,0.0,0.0,0.0
798,20230105,VIVA,50.0,0.0,50.0,50.0,50.0,1400.0,0.0,70000.0,9.0,50.0,63323900.0,0.0,0.0,0.0,0.0
802,20230106,VIVA,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,5.0,50.0,61748400.0,0.0,0.0,0.0,0.0
804,20230109,VIVA,50.0,0.0,50.0,50.0,50.0,1800.0,0.0,90000.0,8.0,50.0,71674000.0,0.0,0.0,0.0,0.0
804,20230110,VIVA,50.0,0.0,50.0,50.0,50.0,400300.0,0.0,20015000.0,4.0,50.0,68634200.0,0.0,0.0,0.0,0.0
805,20230111,VIVA,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,4.0,50.0,70017300.0,0.0,0.0,0.0,0.0
805,20230112,VIVA,50.0,0.0,50.0,50.0,50.0,400.0,0.0,20000.0,4.0,50.0,70571000.0,0.0,0.0,0.0,0.0
805,20230113,VIVA,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,5.0,50.0,71147700.0,0.0,0.0,0.0,0.0
805,20230116,VIVA,50.0,0.0,50.0,50.0,50.0,1900.0,0.0,95000.0,9.0,50.0,70875800.0,0.0,0.0,0.0,0.0
805,20230117,VIVA,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,6.0,50.0,72573000.0,0.0,0.0,0.0,0.0
805,20230118,VIVA,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,4.0,50.0,70770800.0,0.0,0.0,0.0,0.0
805,20230119,VIVA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,71388800.0,0.0,0.0,0.0,0.0
805,20230120,VIVA,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,5.0,50.0,72765600.0,0.0,0.0,0.0,0.0
806,20230124,VIVA,50.0,0.0,50.0,50.0,50.0,2700.0,0.0,135000.0,9.0,50.0,74393500.0,0.0,0.0,0.0,0.0
806,20230125,VIVA,50.0,0.0,50.0,50.0,50.0,1200.0,0.0,60000.0,8.0,50.0,69208600.0,0.0,0.0,0.0,0.0
806,20230126,VIVA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,69179000.0,0.0,0.0,0.0,0.0
807,20230127,VIVA,50.0,0.0,50.0,50.0,50.0,4700.0,0.0,235000.0,13.0,50.0,68753500.0,0.0,0.0,0.0,0.0
807,20230130,VIVA,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,3.0,50.0,71322300.0,0.0,0.0,0.0,0.0
807,20230131,VIVA,50.0,0.0,50.0,50.0,50.0,4000.0,0.0,200000.0,2.0,50.0,71226400.0,0.0,0.0,0.0,0.0
808,20230201,VIVA,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,71148000.0,0.0,0.0,0.0,0.0
808,20230202,VIVA,50.0,0.0,50.0,50.0,50.0,12300.0,0.0,615000.0,3.0,50.0,77479900.0,0.0,0.0,0.0,0.0
808,20230203,VIVA,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,6.0,50.0,72106800.0,0.0,0.0,0.0,100.0
