No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
799,20221230,VOKS,140.0,0.0,143.0,139.0,139.0,10800.0,-1.0,1515300.0,31.0,142.0,10100.0,139.0,100.0,0.0,0.0
799,20230102,VOKS,139.0,0.0,143.0,138.0,142.0,7800.0,3.0,1093900.0,15.0,142.0,600.0,140.0,100.0,0.0,0.0
799,20230103,VOKS,142.0,0.0,142.0,138.0,142.0,23600.0,0.0,3263300.0,15.0,142.0,2100.0,141.0,100.0,0.0,0.0
799,20230104,VOKS,142.0,0.0,143.0,137.0,137.0,28000.0,-5.0,3859200.0,27.0,142.0,16600.0,137.0,500.0,0.0,0.0
799,20230105,VOKS,137.0,0.0,142.0,132.0,133.0,64100.0,-4.0,8604300.0,45.0,140.0,1200.0,133.0,200.0,0.0,0.0
803,20230106,VOKS,133.0,0.0,140.0,134.0,136.0,40600.0,3.0,5485900.0,30.0,136.0,6000.0,134.0,1700.0,0.0,0.0
805,20230109,VOKS,136.0,0.0,141.0,135.0,140.0,16300.0,4.0,2268900.0,37.0,140.0,5400.0,135.0,3000.0,0.0,0.0
805,20230110,VOKS,140.0,0.0,140.0,135.0,135.0,36800.0,-5.0,5103500.0,15.0,139.0,118700.0,135.0,6300.0,0.0,0.0
806,20230111,VOKS,135.0,0.0,142.0,130.0,132.0,145100.0,-3.0,19019100.0,24.0,131.0,100.0,130.0,5100.0,0.0,0.0
806,20230112,VOKS,132.0,0.0,137.0,133.0,136.0,8500.0,4.0,1148600.0,9.0,136.0,200.0,133.0,6800.0,0.0,0.0
806,20230113,VOKS,136.0,0.0,141.0,134.0,138.0,10400.0,2.0,1435400.0,19.0,138.0,4600.0,135.0,200.0,0.0,0.0
806,20230116,VOKS,138.0,0.0,139.0,130.0,130.0,147900.0,-8.0,19480400.0,62.0,135.0,1400.0,129.0,30100.0,0.0,0.0
806,20230117,VOKS,130.0,0.0,135.0,130.0,134.0,40200.0,4.0,5284000.0,19.0,134.0,100.0,131.0,11500.0,0.0,0.0
806,20230118,VOKS,134.0,0.0,135.0,129.0,135.0,24100.0,1.0,3149200.0,13.0,136.0,1400.0,135.0,500.0,0.0,0.0
806,20230119,VOKS,135.0,0.0,134.0,129.0,134.0,4400.0,-1.0,577900.0,19.0,134.0,10000.0,131.0,1000.0,0.0,0.0
806,20230120,VOKS,134.0,0.0,139.0,134.0,134.0,14500.0,0.0,1960700.0,33.0,135.0,300.0,134.0,4000.0,0.0,0.0
807,20230124,VOKS,134.0,0.0,171.0,134.0,139.0,888500.0,5.0,135733100.0,486.0,141.0,158300.0,139.0,600.0,36800.0,0.0
807,20230125,VOKS,139.0,0.0,140.0,130.0,132.0,741600.0,-7.0,98356400.0,184.0,136.0,100.0,132.0,1600.0,0.0,0.0
807,20230126,VOKS,132.0,0.0,136.0,131.0,132.0,205300.0,0.0,27077100.0,79.0,135.0,9100.0,132.0,4700.0,0.0,0.0
808,20230127,VOKS,132.0,0.0,139.0,131.0,134.0,112100.0,2.0,15253800.0,64.0,136.0,500.0,134.0,3300.0,0.0,0.0
808,20230130,VOKS,134.0,0.0,144.0,134.0,142.0,424800.0,8.0,59200900.0,242.0,143.0,160900.0,136.0,500.0,0.0,0.0
808,20230131,VOKS,142.0,0.0,143.0,137.0,139.0,226300.0,-3.0,31292600.0,59.0,141.0,10100.0,137.0,6000.0,0.0,0.0
809,20230201,VOKS,139.0,0.0,140.0,135.0,138.0,132100.0,-1.0,18363200.0,60.0,139.0,9300.0,138.0,5100.0,0.0,0.0
809,20230202,VOKS,138.0,0.0,140.0,137.0,139.0,105400.0,1.0,14500800.0,30.0,139.0,6700.0,138.0,1000.0,0.0,0.0
809,20230203,VOKS,139.0,0.0,143.0,136.0,138.0,136900.0,-1.0,18987500.0,34.0,137.0,10000.0,136.0,1300.0,0.0,0.0
810,20230206,VOKS,138.0,0.0,145.0,136.0,138.0,35700.0,0.0,4894100.0,32.0,138.0,34200.0,136.0,3900.0,0.0,0.0
811,20230207,VOKS,138.0,0.0,138.0,135.0,135.0,44300.0,-3.0,5991200.0,18.0,138.0,36800.0,133.0,2700.0,0.0,100.0
815,20230208,VOKS,135.0,0.0,140.0,134.0,137.0,49400.0,2.0,6658700.0,20.0,136.0,2100.0,135.0,100.0,0.0,0.0
815,20230209,VOKS,137.0,0.0,137.0,133.0,133.0,300.0,-4.0,40300.0,3.0,137.0,5000.0,133.0,11900.0,0.0,0.0
815,20230210,VOKS,133.0,0.0,150.0,131.0,150.0,688200.0,17.0,101441800.0,53.0,153.0,128200.0,150.0,188800.0,0.0,0.0
815,20230213,VOKS,150.0,0.0,179.0,141.0,165.0,2283200.0,15.0,364790200.0,268.0,165.0,28400.0,158.0,3300.0,0.0,0.0
815,20230214,VOKS,165.0,0.0,166.0,154.0,158.0,461000.0,-7.0,73220000.0,198.0,158.0,15800.0,157.0,10100.0,19700.0,0.0
815,20230215,VOKS,158.0,0.0,158.0,147.0,149.0,156100.0,-9.0,23416400.0,106.0,153.0,300.0,149.0,20100.0,0.0,0.0
816,20230216,VOKS,149.0,0.0,154.0,147.0,147.0,28200.0,-2.0,4167400.0,38.0,150.0,6600.0,147.0,5200.0,0.0,0.0
816,20230217,VOKS,147.0,0.0,158.0,147.0,155.0,121600.0,8.0,18589200.0,90.0,155.0,25100.0,149.0,9500.0,0.0,0.0
816,20230220,VOKS,155.0,0.0,161.0,149.0,159.0,71100.0,4.0,11073100.0,45.0,159.0,19800.0,153.0,800.0,0.0,0.0
816,20230221,VOKS,159.0,0.0,165.0,155.0,158.0,69000.0,-1.0,11068000.0,44.0,158.0,27800.0,154.0,100.0,0.0,0.0
816,20230222,VOKS,158.0,0.0,165.0,155.0,158.0,99600.0,0.0,16019300.0,56.0,158.0,100.0,156.0,1300.0,0.0,0.0
816,20230223,VOKS,158.0,0.0,161.0,155.0,160.0,533600.0,2.0,84475100.0,30.0,160.0,1900.0,155.0,200.0,0.0,0.0
817,20230224,VOKS,160.0,0.0,172.0,153.0,163.0,592000.0,3.0,98059700.0,88.0,163.0,169700.0,157.0,5500.0,17000.0,0.0
