No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
800,20221230,VRNA,107.0,0.0,107.0,102.0,103.0,623000.0,-4.0,64547400.0,107.0,105.0,20100.0,103.0,31800.0,0.0,0.0
800,20230102,VRNA,103.0,0.0,106.0,102.0,105.0,58500.0,2.0,5985000.0,47.0,105.0,19800.0,103.0,1600.0,0.0,0.0
800,20230103,VRNA,105.0,0.0,107.0,103.0,106.0,43500.0,1.0,4573800.0,25.0,106.0,57200.0,105.0,49500.0,0.0,0.0
800,20230104,VRNA,106.0,0.0,105.0,103.0,104.0,128500.0,-2.0,13340100.0,25.0,104.0,74400.0,103.0,36700.0,0.0,0.0
800,20230105,VRNA,104.0,0.0,104.0,100.0,100.0,770200.0,-4.0,77183900.0,93.0,101.0,30000.0,100.0,95100.0,0.0,0.0
804,20230106,VRNA,100.0,0.0,102.0,98.0,99.0,264000.0,-1.0,26214500.0,50.0,99.0,19800.0,98.0,9600.0,0.0,0.0
806,20230109,VRNA,99.0,0.0,105.0,97.0,99.0,459600.0,0.0,46996600.0,167.0,100.0,3000.0,99.0,18600.0,0.0,0.0
806,20230110,VRNA,99.0,0.0,100.0,97.0,98.0,151600.0,-1.0,14751400.0,25.0,99.0,66100.0,98.0,5900.0,0.0,0.0
807,20230111,VRNA,98.0,0.0,98.0,95.0,95.0,220000.0,-3.0,21059000.0,70.0,96.0,3300.0,95.0,18500.0,0.0,0.0
807,20230112,VRNA,95.0,0.0,96.0,94.0,96.0,123400.0,1.0,11759600.0,40.0,96.0,142900.0,95.0,17500.0,0.0,0.0
807,20230113,VRNA,96.0,0.0,96.0,92.0,95.0,613500.0,-1.0,57409500.0,89.0,95.0,42700.0,94.0,2300.0,0.0,0.0
807,20230116,VRNA,95.0,0.0,100.0,92.0,100.0,410000.0,5.0,39546000.0,89.0,100.0,500.0,99.0,46300.0,0.0,0.0
807,20230117,VRNA,100.0,0.0,104.0,96.0,99.0,1035600.0,-1.0,104490600.0,2249.0,99.0,100.0,98.0,10300.0,0.0,0.0
807,20230118,VRNA,99.0,0.0,105.0,97.0,101.0,1121200.0,2.0,113872300.0,454.0,102.0,22300.0,100.0,5200.0,0.0,0.0
807,20230119,VRNA,101.0,0.0,101.0,97.0,101.0,659800.0,0.0,65560600.0,163.0,101.0,56300.0,100.0,107000.0,0.0,0.0
807,20230120,VRNA,101.0,0.0,101.0,99.0,100.0,170600.0,-1.0,17060800.0,46.0,100.0,27500.0,99.0,35100.0,0.0,0.0
808,20230124,VRNA,100.0,0.0,101.0,100.0,100.0,61400.0,0.0,6153800.0,41.0,100.0,15900.0,99.0,38100.0,0.0,0.0
808,20230125,VRNA,100.0,0.0,100.0,97.0,98.0,148400.0,-2.0,14552000.0,53.0,100.0,11600.0,98.0,100.0,0.0,0.0
808,20230126,VRNA,98.0,0.0,100.0,98.0,99.0,39900.0,1.0,3955500.0,19.0,99.0,31900.0,98.0,20900.0,0.0,0.0
809,20230127,VRNA,99.0,0.0,100.0,93.0,95.0,831600.0,-4.0,78523300.0,84.0,96.0,10100.0,95.0,17900.0,0.0,0.0
809,20230130,VRNA,95.0,0.0,100.0,96.0,97.0,915600.0,2.0,89430300.0,809.0,97.0,200.0,96.0,105000.0,0.0,0.0
809,20230131,VRNA,97.0,0.0,98.0,95.0,95.0,191200.0,-2.0,18263300.0,68.0,96.0,1139700.0,95.0,146000.0,0.0,0.0
810,20230201,VRNA,95.0,0.0,98.0,95.0,96.0,291200.0,1.0,27958900.0,85.0,96.0,793900.0,95.0,152400.0,0.0,0.0
810,20230202,VRNA,96.0,0.0,98.0,95.0,98.0,149100.0,2.0,14415700.0,54.0,98.0,13900.0,97.0,115100.0,0.0,0.0
810,20230203,VRNA,98.0,0.0,99.0,96.0,98.0,166500.0,0.0,16250900.0,40.0,98.0,90000.0,97.0,75400.0,0.0,0.0
811,20230206,VRNA,98.0,0.0,101.0,97.0,100.0,291700.0,2.0,28890100.0,88.0,100.0,19400.0,98.0,67700.0,0.0,0.0
812,20230207,VRNA,100.0,0.0,100.0,97.0,99.0,293100.0,-1.0,28812800.0,65.0,99.0,791200.0,98.0,900.0,0.0,0.0
816,20230208,VRNA,99.0,0.0,99.0,96.0,97.0,75800.0,-2.0,7350400.0,42.0,98.0,881700.0,97.0,43100.0,0.0,0.0
816,20230209,VRNA,97.0,0.0,99.0,96.0,98.0,63500.0,1.0,6198500.0,22.0,98.0,17500.0,97.0,73600.0,0.0,0.0
816,20230210,VRNA,98.0,0.0,98.0,95.0,96.0,515400.0,-2.0,49497000.0,57.0,96.0,354400.0,95.0,165600.0,0.0,0.0
816,20230213,VRNA,96.0,0.0,98.0,95.0,96.0,75500.0,0.0,7187600.0,32.0,96.0,9700.0,95.0,29300.0,0.0,0.0
816,20230214,VRNA,96.0,0.0,97.0,95.0,96.0,28000.0,0.0,2700900.0,22.0,98.0,25300.0,97.0,100.0,0.0,0.0
816,20230215,VRNA,96.0,0.0,98.0,95.0,96.0,61400.0,0.0,5862900.0,23.0,98.0,34200.0,96.0,400.0,0.0,0.0
817,20230216,VRNA,96.0,0.0,98.0,95.0,98.0,1700.0,2.0,164700.0,10.0,98.0,370700.0,96.0,78800.0,0.0,0.0
817,20230217,VRNA,98.0,0.0,98.0,96.0,98.0,40400.0,0.0,3922600.0,18.0,98.0,52000.0,96.0,117900.0,0.0,100.0
817,20230220,VRNA,98.0,0.0,98.0,95.0,98.0,116000.0,0.0,11203300.0,45.0,98.0,102400.0,96.0,75300.0,0.0,0.0
817,20230221,VRNA,98.0,0.0,113.0,98.0,107.0,7436800.0,9.0,794746300.0,1368.0,109.0,69600.0,107.0,5600.0,0.0,0.0
817,20230222,VRNA,107.0,0.0,111.0,102.0,105.0,1587800.0,-2.0,167259300.0,418.0,107.0,5900.0,105.0,1900.0,0.0,9000.0
817,20230223,VRNA,105.0,0.0,107.0,103.0,105.0,401400.0,0.0,41601400.0,138.0,105.0,12800.0,104.0,100.0,0.0,0.0
818,20230224,VRNA,105.0,0.0,110.0,103.0,109.0,779100.0,4.0,83574900.0,213.0,110.0,32600.0,109.0,310600.0,0.0,0.0
819,20230227,VRNA,109.0,0.0,113.0,108.0,110.0,488000.0,1.0,53750400.0,92.0,110.0,104700.0,109.0,2100.0,6200.0,0.0
819,20230228,VRNA,110.0,0.0,112.0,103.0,107.0,428000.0,-3.0,45108300.0,140.0,107.0,246900.0,105.0,122700.0,0.0,0.0
820,20230301,VRNA,107.0,0.0,107.0,101.0,106.0,884200.0,-1.0,91270200.0,215.0,107.0,18300.0,106.0,83500.0,0.0,0.0
820,20230302,VRNA,106.0,0.0,106.0,103.0,106.0,402000.0,0.0,42284900.0,56.0,107.0,3500.0,106.0,100.0,0.0,0.0
821,20230303,VRNA,106.0,0.0,111.0,105.0,107.0,365600.0,1.0,39009000.0,64.0,108.0,500.0,105.0,85100.0,0.0,0.0
822,20230306,VRNA,107.0,0.0,110.0,102.0,106.0,272300.0,-1.0,28781200.0,171.0,106.0,199600.0,105.0,89100.0,0.0,0.0
822,20230307,VRNA,106.0,0.0,107.0,103.0,105.0,112700.0,-1.0,11821900.0,73.0,105.0,290000.0,104.0,2600.0,0.0,0.0
825,20230308,VRNA,105.0,0.0,106.0,103.0,104.0,283700.0,-1.0,29713900.0,119.0,105.0,219900.0,104.0,64800.0,2800.0,0.0
825,20230309,VRNA,104.0,0.0,109.0,102.0,106.0,2857300.0,2.0,302456500.0,292.0,107.0,105100.0,106.0,97100.0,0.0,0.0
