No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
803,20221230,WEGE,150.0,0.0,151.0,149.0,149.0,3063100.0,-1.0,459542000.0,308.0,150.0,230000.0,149.0,1139400.0,0.0,0.0
803,20230102,WEGE,149.0,0.0,152.0,149.0,152.0,830600.0,3.0,125964900.0,199.0,152.0,211500.0,151.0,15400.0,0.0,0.0
803,20230103,WEGE,152.0,0.0,154.0,149.0,150.0,6710300.0,-2.0,1008697700.0,485.0,151.0,571300.0,150.0,100800.0,100.0,0.0
803,20230104,WEGE,150.0,0.0,151.0,146.0,147.0,15230500.0,-3.0,2275553100.0,776.0,147.0,842900.0,146.0,280800.0,0.0,0.0
803,20230105,WEGE,147.0,0.0,149.0,137.0,139.0,37774000.0,-8.0,5265146600.0,1653.0,139.0,135100.0,138.0,3400.0,0.0,0.0
807,20230106,WEGE,139.0,0.0,141.0,138.0,139.0,3287700.0,0.0,459052400.0,282.0,140.0,6000.0,139.0,252700.0,0.0,0.0
809,20230109,WEGE,139.0,0.0,141.0,133.0,133.0,10235300.0,-6.0,1396499800.0,680.0,136.0,1500.0,133.0,1297300.0,0.0,2300000.0
809,20230110,WEGE,133.0,0.0,138.0,131.0,134.0,7099600.0,1.0,951849200.0,676.0,134.0,112800.0,133.0,553000.0,0.0,0.0
810,20230111,WEGE,134.0,0.0,135.0,131.0,133.0,2187000.0,-1.0,289208600.0,435.0,134.0,124500.0,133.0,673000.0,0.0,0.0
810,20230112,WEGE,133.0,0.0,136.0,132.0,135.0,2759700.0,2.0,371483300.0,260.0,135.0,300.0,134.0,210300.0,0.0,0.0
810,20230113,WEGE,135.0,0.0,138.0,135.0,137.0,2171800.0,2.0,295659800.0,245.0,137.0,694500.0,135.0,69400.0,0.0,0.0
810,20230116,WEGE,137.0,0.0,138.0,133.0,135.0,5490200.0,-2.0,739112300.0,445.0,136.0,40300.0,135.0,534100.0,0.0,0.0
810,20230117,WEGE,135.0,0.0,137.0,135.0,136.0,4235500.0,1.0,573305400.0,297.0,136.0,103300.0,135.0,491500.0,0.0,0.0
810,20230118,WEGE,136.0,0.0,140.0,135.0,137.0,3715700.0,1.0,509942100.0,321.0,138.0,167900.0,137.0,335900.0,0.0,0.0
810,20230119,WEGE,137.0,0.0,138.0,136.0,137.0,6589700.0,0.0,903281600.0,258.0,138.0,168000.0,137.0,769600.0,4290000.0,0.0
810,20230120,WEGE,137.0,0.0,138.0,137.0,138.0,1591300.0,1.0,218624700.0,142.0,138.0,1225500.0,137.0,1703700.0,0.0,0.0
