No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
808,20221230,WIIM,625.0,0.0,645.0,625.0,630.0,1078700.0,5.0,685278000.0,226.0,635.0,26600.0,630.0,113100.0,157100.0,62900.0
808,20230102,WIIM,630.0,0.0,660.0,630.0,650.0,1172800.0,20.0,763251000.0,412.0,655.0,41200.0,650.0,48300.0,200400.0,37600.0
808,20230103,WIIM,650.0,0.0,660.0,640.0,660.0,1070400.0,10.0,694027000.0,231.0,665.0,105000.0,660.0,33200.0,204900.0,30200.0
808,20230104,WIIM,660.0,0.0,675.0,650.0,655.0,1344800.0,-5.0,888538500.0,336.0,660.0,17300.0,655.0,17300.0,298700.0,3100.0
808,20230105,WIIM,655.0,0.0,660.0,620.0,635.0,8260000.0,-20.0,5169535500.0,500.0,635.0,24300.0,630.0,100.0,468500.0,4100.0
812,20230106,WIIM,635.0,0.0,645.0,620.0,630.0,2751600.0,-5.0,1726922500.0,354.0,630.0,83600.0,625.0,95000.0,286600.0,12000.0
814,20230109,WIIM,630.0,0.0,640.0,610.0,620.0,4736700.0,-10.0,2928690500.0,418.0,620.0,73200.0,615.0,88400.0,263200.0,103600.0
814,20230110,WIIM,620.0,0.0,620.0,600.0,605.0,4375700.0,-15.0,2676795500.0,443.0,610.0,27300.0,605.0,114900.0,354500.0,51800.0
815,20230111,WIIM,605.0,0.0,640.0,610.0,635.0,1066600.0,30.0,669342500.0,347.0,640.0,130100.0,635.0,74700.0,38200.0,30600.0
815,20230112,WIIM,635.0,0.0,645.0,625.0,635.0,1531600.0,0.0,968766500.0,179.0,640.0,75900.0,635.0,227100.0,78700.0,55100.0
815,20230113,WIIM,635.0,0.0,650.0,630.0,650.0,642700.0,15.0,414433500.0,192.0,650.0,19500.0,645.0,36000.0,53700.0,78500.0
815,20230116,WIIM,650.0,0.0,700.0,650.0,690.0,4210200.0,40.0,2875138000.0,1212.0,690.0,32500.0,685.0,119900.0,567100.0,27600.0
815,20230117,WIIM,690.0,0.0,705.0,685.0,690.0,3579400.0,0.0,2488835500.0,547.0,690.0,60000.0,685.0,81600.0,122700.0,0.0
