No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
809,20221230,WIKA,810.0,815.0,815.0,800.0,800.0,4277800.0,-10.0,3437791000.0,1155.0,800.0,225100.0,795.0,375900.0,86900.0,34700.0
809,20230102,WIKA,800.0,815.0,820.0,800.0,805.0,5082700.0,5.0,4103047000.0,944.0,810.0,349500.0,805.0,213500.0,36300.0,5800.0
809,20230103,WIKA,805.0,805.0,815.0,800.0,805.0,6409800.0,0.0,5169608000.0,922.0,805.0,2859400.0,800.0,1572500.0,7200.0,919000.0
809,20230104,WIKA,805.0,810.0,830.0,800.0,800.0,10875600.0,-5.0,8854352000.0,2412.0,805.0,63600.0,800.0,605200.0,335700.0,445600.0
809,20230105,WIKA,800.0,805.0,805.0,770.0,770.0,12122100.0,-30.0,9493551500.0,2662.0,775.0,166600.0,770.0,152400.0,336200.0,1055600.0
813,20230106,WIKA,770.0,760.0,780.0,750.0,765.0,8017000.0,-5.0,6139824000.0,1589.0,765.0,175300.0,760.0,362100.0,57500.0,142600.0
815,20230109,WIKA,765.0,765.0,775.0,730.0,730.0,13680400.0,-35.0,10168683000.0,2848.0,735.0,216900.0,730.0,45400.0,72300.0,688900.0
815,20230110,WIKA,730.0,730.0,740.0,680.0,680.0,33985900.0,-50.0,23576384000.0,4559.0,680.0,1441200.0,0.0,0.0,1276400.0,1463500.0
816,20230111,WIKA,680.0,685.0,690.0,655.0,670.0,14687800.0,-10.0,9808929500.0,2523.0,670.0,45700.0,665.0,629500.0,22900.0,2585000.0
816,20230112,WIKA,670.0,675.0,695.0,670.0,680.0,12551100.0,10.0,8557084000.0,2144.0,685.0,359800.0,680.0,372600.0,5141800.0,1387000.0
816,20230113,WIKA,680.0,680.0,690.0,675.0,680.0,8874800.0,0.0,6040058000.0,1126.0,680.0,247900.0,675.0,1012400.0,5307500.0,72000.0
816,20230116,WIKA,680.0,680.0,700.0,675.0,685.0,7240400.0,5.0,4974685500.0,1259.0,685.0,430700.0,680.0,1171700.0,1746900.0,987700.0
816,20230117,WIKA,685.0,685.0,700.0,680.0,680.0,13203800.0,-5.0,9095095000.0,1941.0,680.0,2094000.0,675.0,763800.0,7518400.0,504300.0
816,20230118,WIKA,680.0,660.0,675.0,655.0,660.0,20101500.0,-20.0,13327322500.0,3445.0,660.0,857500.0,655.0,2038300.0,14084500.0,316500.0
816,20230119,WIKA,660.0,655.0,690.0,655.0,685.0,14122300.0,25.0,9528454000.0,1748.0,685.0,826200.0,680.0,1256100.0,835600.0,3086900.0
816,20230120,WIKA,685.0,685.0,690.0,670.0,675.0,16404200.0,-10.0,11117661500.0,1667.0,680.0,30800.0,675.0,2176500.0,7163200.0,2236900.0
817,20230124,WIKA,675.0,675.0,685.0,660.0,665.0,14593500.0,-10.0,9749863500.0,1968.0,670.0,214400.0,665.0,121900.0,6413600.0,596000.0
817,20230125,WIKA,665.0,665.0,705.0,665.0,685.0,34035400.0,20.0,23357156000.0,2876.0,690.0,1836400.0,685.0,202500.0,15395700.0,8591100.0
817,20230126,WIKA,685.0,690.0,705.0,670.0,680.0,39383800.0,-5.0,27152194500.0,3209.0,685.0,2262000.0,680.0,380100.0,11025400.0,1459100.0
818,20230127,WIKA,680.0,680.0,715.0,680.0,700.0,43498300.0,20.0,30542648500.0,3701.0,705.0,588500.0,700.0,2388800.0,13701600.0,6510600.0
818,20230130,WIKA,700.0,705.0,715.0,680.0,685.0,24381100.0,-15.0,16933320500.0,2919.0,690.0,366500.0,685.0,911500.0,3895500.0,1427800.0
818,20230131,WIKA,685.0,690.0,715.0,685.0,690.0,39670200.0,5.0,27757269500.0,4182.0,695.0,1282200.0,690.0,4063900.0,16627700.0,11954200.0
819,20230201,WIKA,690.0,0.0,705.0,690.0,695.0,17621100.0,5.0,12334253500.0,2148.0,700.0,551600.0,695.0,1487800.0,7425700.0,11052600.0
819,20230202,WIKA,695.0,0.0,720.0,695.0,710.0,25986500.0,15.0,18500820000.0,2572.0,710.0,693200.0,705.0,1142100.0,6356000.0,8899200.0
819,20230203,WIKA,710.0,0.0,740.0,705.0,735.0,32210800.0,25.0,23424405500.0,3685.0,735.0,786500.0,730.0,809400.0,8527100.0,2526700.0
820,20230206,WIKA,735.0,0.0,760.0,725.0,735.0,35476500.0,0.0,26362301000.0,3934.0,740.0,421600.0,735.0,211300.0,11173900.0,2677900.0
821,20230207,WIKA,735.0,0.0,745.0,715.0,720.0,17909300.0,-15.0,12964737000.0,2427.0,725.0,600200.0,720.0,6000.0,2934400.0,1046900.0
825,20230208,WIKA,720.0,0.0,730.0,715.0,720.0,5413900.0,0.0,3911476000.0,1241.0,720.0,9100.0,715.0,1907100.0,220200.0,865400.0
825,20230209,WIKA,720.0,0.0,735.0,715.0,715.0,17382600.0,-5.0,12599577500.0,2625.0,720.0,32100.0,715.0,626600.0,5211400.0,531800.0
825,20230210,WIKA,715.0,0.0,720.0,690.0,700.0,22641800.0,-15.0,15841320500.0,2636.0,700.0,905700.0,695.0,690900.0,3553200.0,1646100.0
825,20230213,WIKA,700.0,0.0,710.0,690.0,700.0,10567300.0,0.0,7386715000.0,1394.0,700.0,657300.0,695.0,411100.0,2140300.0,2252800.0
825,20230214,WIKA,700.0,0.0,710.0,695.0,695.0,6834400.0,-5.0,4789077500.0,1206.0,700.0,2577800.0,695.0,1090900.0,1229900.0,759900.0
825,20230215,WIKA,695.0,0.0,700.0,685.0,690.0,10365000.0,-5.0,7148156000.0,1532.0,695.0,306800.0,690.0,26100.0,2041800.0,1950200.0
826,20230216,WIKA,690.0,0.0,690.0,665.0,670.0,28786800.0,-20.0,19403085500.0,3251.0,675.0,391500.0,670.0,640300.0,3185400.0,2790300.0
826,20230217,WIKA,670.0,0.0,695.0,665.0,680.0,25653700.0,10.0,17434496500.0,2020.0,685.0,1221200.0,680.0,46500.0,8829700.0,3995000.0
826,20230220,WIKA,680.0,0.0,690.0,670.0,675.0,9477100.0,-5.0,6427817500.0,2039.0,680.0,618100.0,675.0,127000.0,3996300.0,2563500.0
826,20230221,WIKA,675.0,0.0,680.0,645.0,660.0,30539100.0,-15.0,20179396000.0,3593.0,660.0,2700.0,655.0,2119900.0,12077100.0,1662200.0
