No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
813,20221230,WMPP,79.0,0.0,80.0,74.0,74.0,59598500.0,-5.0,4454971400.0,3232.0,74.0,2188800.0,0.0,0.0,2662100.0,0.0
813,20230102,WMPP,74.0,0.0,75.0,69.0,69.0,24945200.0,-5.0,1729864100.0,1047.0,69.0,6486100.0,0.0,0.0,0.0,243200.0
813,20230103,WMPP,69.0,0.0,74.0,65.0,73.0,70001500.0,4.0,4783081500.0,2444.0,73.0,772500.0,72.0,515100.0,1015800.0,15601700.0
813,20230104,WMPP,73.0,0.0,74.0,70.0,70.0,17818000.0,-3.0,1267040500.0,1376.0,70.0,288700.0,69.0,1692300.0,3010200.0,334900.0
813,20230105,WMPP,70.0,0.0,76.0,66.0,69.0,37615600.0,-1.0,2610968500.0,2194.0,70.0,209900.0,69.0,588800.0,6393400.0,1169300.0
817,20230106,WMPP,69.0,0.0,73.0,68.0,71.0,13117600.0,2.0,923718300.0,932.0,71.0,888800.0,70.0,652200.0,246100.0,4909300.0
819,20230109,WMPP,71.0,0.0,72.0,67.0,67.0,92982800.0,-4.0,6340277600.0,1545.0,67.0,3388700.0,0.0,0.0,1432600.0,753100.0
820,20230110,WMPP,67.0,0.0,67.0,63.0,63.0,44026800.0,-4.0,2777218300.0,1221.0,64.0,1437900.0,63.0,2044300.0,2781700.0,4506500.0
821,20230111,WMPP,63.0,0.0,64.0,59.0,59.0,35856300.0,-4.0,2122176100.0,1120.0,59.0,1588800.0,0.0,0.0,41300.0,5794800.0
821,20230112,WMPP,59.0,0.0,76.0,55.0,68.0,231686900.0,9.0,15664638600.0,10778.0,69.0,182800.0,68.0,352100.0,8457100.0,20772200.0
821,20230113,WMPP,68.0,0.0,70.0,64.0,64.0,27756800.0,-4.0,1821936100.0,1698.0,64.0,675900.0,0.0,0.0,2463600.0,1591900.0
821,20230116,WMPP,64.0,0.0,72.0,62.0,69.0,58617500.0,5.0,3989806000.0,2982.0,69.0,771200.0,68.0,3444400.0,5339900.0,1377900.0
821,20230117,WMPP,69.0,0.0,80.0,69.0,76.0,99068500.0,7.0,7501136000.0,5704.0,77.0,617200.0,76.0,67400.0,2126800.0,9892800.0
