No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
814,20221230,WMUU,91.0,0.0,92.0,85.0,85.0,43150700.0,-6.0,3685067300.0,2255.0,85.0,3704100.0,0.0,0.0,267100.0,1019400.0
814,20230102,WMUU,85.0,0.0,86.0,80.0,80.0,34510300.0,-5.0,2773374700.0,2128.0,80.0,1794300.0,0.0,0.0,600.0,612100.0
814,20230103,WMUU,80.0,0.0,80.0,75.0,75.0,106762600.0,-5.0,8029842200.0,3397.0,75.0,12853100.0,0.0,0.0,294300.0,4179500.0
814,20230104,WMUU,75.0,0.0,74.0,70.0,70.0,79861800.0,-5.0,5616723500.0,1845.0,70.0,19527300.0,0.0,0.0,1328800.0,2000000.0
814,20230105,WMUU,70.0,0.0,69.0,66.0,66.0,74454000.0,-4.0,4957235300.0,1715.0,66.0,35528400.0,0.0,0.0,2104900.0,310500.0
818,20230106,WMUU,66.0,0.0,63.0,62.0,62.0,63611000.0,-4.0,3944582300.0,1742.0,62.0,29369700.0,0.0,0.0,0.0,0.0
820,20230109,WMUU,62.0,0.0,59.0,58.0,58.0,33322700.0,-4.0,1932837700.0,1246.0,58.0,123515900.0,0.0,0.0,0.0,0.0
821,20230110,WMUU,58.0,0.0,54.0,54.0,54.0,22335400.0,-4.0,1206111600.0,871.0,54.0,139324500.0,0.0,0.0,0.0,0.0
822,20230111,WMUU,54.0,0.0,51.0,51.0,51.0,40149200.0,-3.0,2047609200.0,1176.0,51.0,125024800.0,0.0,0.0,0.0,0.0
822,20230112,WMUU,51.0,0.0,66.0,50.0,64.0,1217431300.0,13.0,69623716000.0,29374.0,64.0,13848600.0,63.0,15958300.0,19695700.0,14433600.0
822,20230113,WMUU,64.0,0.0,65.0,60.0,60.0,152068700.0,-4.0,9361787400.0,6307.0,60.0,28924700.0,0.0,0.0,1460300.0,1594100.0
822,20230116,WMUU,60.0,0.0,66.0,56.0,61.0,396177200.0,1.0,23809951900.0,10547.0,62.0,4429700.0,61.0,8746700.0,5963600.0,5019900.0
822,20230117,WMUU,61.0,0.0,70.0,61.0,65.0,448055000.0,4.0,29861469000.0,17979.0,66.0,7893600.0,65.0,9231900.0,5136700.0,2280000.0
822,20230118,WMUU,65.0,0.0,72.0,64.0,69.0,664945000.0,4.0,46039371400.0,16811.0,69.0,3294900.0,68.0,8851100.0,18362300.0,16382800.0
822,20230119,WMUU,69.0,0.0,79.0,67.0,75.0,639983300.0,6.0,47374231400.0,20617.0,76.0,8796300.0,75.0,258300.0,18969000.0,30101700.0
822,20230120,WMUU,75.0,0.0,80.0,71.0,72.0,370660900.0,-3.0,27821270600.0,13995.0,73.0,1546300.0,72.0,246100.0,20189300.0,5631400.0
823,20230124,WMUU,72.0,0.0,74.0,68.0,69.0,171182400.0,-3.0,11951423000.0,5773.0,70.0,1216800.0,69.0,306800.0,1734400.0,1824600.0
823,20230125,WMUU,69.0,0.0,71.0,66.0,66.0,108110300.0,-3.0,7296080700.0,4274.0,66.0,881300.0,65.0,21261600.0,252400.0,3017400.0
823,20230126,WMUU,66.0,0.0,70.0,65.0,69.0,108816800.0,3.0,7405041600.0,3507.0,69.0,3333300.0,68.0,2112100.0,6679500.0,6471600.0
824,20230127,WMUU,69.0,0.0,70.0,67.0,67.0,100820600.0,-2.0,6872585400.0,3052.0,68.0,3309100.0,67.0,16857900.0,3389300.0,704000.0
824,20230130,WMUU,67.0,0.0,69.0,66.0,66.0,66994800.0,-1.0,4485265700.0,3670.0,67.0,1571100.0,66.0,3288300.0,1391300.0,1331300.0
824,20230131,WMUU,66.0,0.0,67.0,62.0,63.0,88433500.0,-3.0,5663821300.0,3501.0,64.0,3389500.0,63.0,14030600.0,696900.0,2266800.0
825,20230201,WMUU,63.0,0.0,65.0,62.0,63.0,54564300.0,0.0,3453836300.0,2813.0,63.0,4712900.0,62.0,7430900.0,939200.0,3884200.0
825,20230202,WMUU,63.0,0.0,66.0,62.0,63.0,93444700.0,0.0,6004021900.0,5366.0,64.0,3080000.0,63.0,3446500.0,4535100.0,3023100.0
825,20230203,WMUU,63.0,0.0,66.0,63.0,63.0,63771500.0,0.0,4088972900.0,2126.0,64.0,1338500.0,63.0,13438800.0,348700.0,5868700.0
826,20230206,WMUU,63.0,0.0,65.0,63.0,64.0,50349600.0,1.0,3203673900.0,2577.0,64.0,605100.0,63.0,6770200.0,174200.0,2372600.0
827,20230207,WMUU,64.0,0.0,64.0,61.0,63.0,59361100.0,-1.0,3722678000.0,2163.0,63.0,6603400.0,62.0,2719600.0,5124900.0,4272000.0
831,20230208,WMUU,63.0,0.0,63.0,61.0,62.0,40743300.0,-1.0,2526454300.0,1690.0,63.0,8262200.0,62.0,3647800.0,3683100.0,556100.0
831,20230209,WMUU,62.0,0.0,65.0,61.0,62.0,48314400.0,0.0,3034755600.0,2418.0,62.0,970000.0,61.0,9797800.0,394800.0,656500.0
831,20230210,WMUU,62.0,0.0,63.0,60.0,61.0,28939400.0,-1.0,1757709500.0,1503.0,62.0,3163300.0,61.0,714300.0,3131400.0,10400.0
831,20230213,WMUU,61.0,0.0,62.0,59.0,59.0,38444900.0,-2.0,2299371900.0,1975.0,59.0,377600.0,58.0,4362800.0,1181300.0,2281900.0
831,20230214,WMUU,59.0,0.0,61.0,58.0,60.0,28084000.0,1.0,1681746900.0,1329.0,61.0,3839500.0,60.0,1029800.0,40300.0,2580600.0
831,20230215,WMUU,60.0,0.0,64.0,56.0,56.0,409360200.0,-4.0,24214937000.0,11757.0,57.0,7517200.0,56.0,8480600.0,4646200.0,7857100.0
832,20230216,WMUU,56.0,0.0,58.0,55.0,57.0,72331100.0,1.0,4134019200.0,2916.0,58.0,9425100.0,57.0,11400.0,547900.0,2711000.0
832,20230217,WMUU,57.0,0.0,58.0,56.0,57.0,24540900.0,0.0,1397487500.0,1193.0,57.0,3506500.0,56.0,16468600.0,1216000.0,955100.0
832,20230220,WMUU,57.0,0.0,58.0,54.0,55.0,120096700.0,-2.0,6700149100.0,3274.0,56.0,707600.0,55.0,301300.0,3597200.0,1415600.0
832,20230221,WMUU,55.0,0.0,57.0,54.0,55.0,33671900.0,0.0,1873877200.0,1408.0,56.0,2951700.0,55.0,8482200.0,140400.0,2640600.0
832,20230222,WMUU,55.0,0.0,56.0,53.0,53.0,90001200.0,-2.0,4856249500.0,3097.0,54.0,3826900.0,53.0,8251700.0,666500.0,2107400.0
832,20230223,WMUU,53.0,0.0,55.0,52.0,53.0,50500800.0,0.0,2703630400.0,1631.0,54.0,276900.0,53.0,10576300.0,138900.0,6199100.0
833,20230224,WMUU,53.0,0.0,55.0,53.0,54.0,19465100.0,1.0,1053447300.0,1020.0,55.0,5774000.0,54.0,717600.0,0.0,4261100.0
834,20230227,WMUU,54.0,0.0,56.0,53.0,54.0,50356400.0,0.0,2738142300.0,1779.0,55.0,4166800.0,54.0,2834700.0,1000.0,2090500.0
834,20230228,WMUU,54.0,0.0,55.0,52.0,53.0,58303800.0,-1.0,3096031600.0,1897.0,53.0,28200.0,52.0,10191100.0,43400.0,1078100.0
835,20230301,WMUU,53.0,0.0,54.0,52.0,52.0,45236800.0,-1.0,2373460000.0,1633.0,53.0,2899700.0,52.0,18296200.0,1815400.0,964100.0
835,20230302,WMUU,52.0,0.0,53.0,52.0,52.0,13998300.0,0.0,732607200.0,754.0,53.0,4879400.0,52.0,18634600.0,100.0,20000.0
836,20230303,WMUU,52.0,0.0,53.0,52.0,53.0,19243600.0,1.0,1011584500.0,628.0,53.0,3538300.0,52.0,11169300.0,30000.0,0.0
837,20230306,WMUU,53.0,0.0,53.0,52.0,52.0,25717200.0,-1.0,1342522900.0,721.0,53.0,4866300.0,52.0,22352700.0,0.0,539500.0
837,20230307,WMUU,52.0,0.0,55.0,52.0,53.0,93182500.0,1.0,4997486600.0,3192.0,54.0,7643200.0,53.0,46800.0,3098100.0,587200.0
840,20230308,WMUU,53.0,0.0,54.0,51.0,52.0,43587700.0,-1.0,2271583600.0,1343.0,52.0,7964900.0,51.0,23804400.0,2685700.0,231200.0
840,20230309,WMUU,52.0,0.0,52.0,51.0,52.0,35720700.0,0.0,1828917400.0,1137.0,52.0,10470800.0,51.0,14675800.0,1519900.0,0.0
841,20230310,WMUU,52.0,0.0,52.0,51.0,51.0,21987200.0,-1.0,1133711300.0,658.0,52.0,5622800.0,51.0,26708200.0,1363500.0,0.0
841,20230313,WMUU,51.0,0.0,52.0,50.0,51.0,52416200.0,0.0,2673750900.0,1633.0,52.0,5078000.0,51.0,15974200.0,1881900.0,0.0
841,20230314,WMUU,51.0,0.0,52.0,50.0,51.0,43507300.0,0.0,2216844800.0,1371.0,52.0,8656600.0,51.0,2426300.0,2938900.0,310300.0
841,20230315,WMUU,51.0,0.0,52.0,51.0,52.0,14819400.0,1.0,758073300.0,1755.0,52.0,10337200.0,51.0,6303400.0,803400.0,460000.0
841,20230316,WMUU,52.0,0.0,52.0,50.0,50.0,25074000.0,-2.0,1265634400.0,1052.0,51.0,6615600.0,50.0,75742200.0,1303800.0,0.0
841,20230317,WMUU,50.0,0.0,51.0,50.0,51.0,33582700.0,1.0,1685633100.0,992.0,51.0,8389900.0,50.0,40682700.0,0.0,0.0
841,20230320,WMUU,51.0,0.0,51.0,50.0,50.0,40373400.0,-1.0,2021196300.0,629.0,51.0,10141500.0,50.0,30076400.0,10000000.0,0.0
841,20230321,WMUU,50.0,0.0,55.0,50.0,53.0,198825800.0,3.0,10506903900.0,5545.0,53.0,3111200.0,52.0,4057200.0,5032900.0,7603200.0
841,20230324,WMUU,53.0,0.0,56.0,53.0,53.0,127870700.0,0.0,6943217800.0,4956.0,54.0,6467000.0,53.0,11746200.0,3129300.0,4670000.0
841,20230327,WMUU,53.0,0.0,54.0,51.0,52.0,40652800.0,-1.0,2123303000.0,3876.0,53.0,5484200.0,52.0,378600.0,531900.0,54100.0
841,20230328,WMUU,52.0,0.0,53.0,51.0,52.0,27308800.0,0.0,1421607700.0,3249.0,53.0,12697200.0,52.0,3884200.0,381700.0,2190200.0
841,20230329,WMUU,52.0,0.0,53.0,51.0,52.0,23772200.0,0.0,1226939600.0,828.0,52.0,8052000.0,51.0,47244400.0,65800.0,691000.0
842,20230330,WMUU,52.0,0.0,52.0,51.0,51.0,33207400.0,-1.0,1702587400.0,758.0,52.0,15711700.0,51.0,15384800.0,0.0,4459500.0
