No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
817,20221230,WOWS,50.0,0.0,50.0,50.0,50.0,95200.0,0.0,4760000.0,5.0,50.0,18269500.0,0.0,0.0,0.0,0.0
817,20230102,WOWS,50.0,0.0,50.0,50.0,50.0,22200.0,0.0,1110000.0,9.0,50.0,19703100.0,0.0,0.0,0.0,0.0
817,20230103,WOWS,50.0,0.0,50.0,50.0,50.0,1600.0,0.0,80000.0,4.0,50.0,20616100.0,0.0,0.0,0.0,0.0
817,20230104,WOWS,50.0,0.0,50.0,50.0,50.0,4100.0,0.0,205000.0,2.0,50.0,23015500.0,0.0,0.0,0.0,0.0
817,20230105,WOWS,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,3.0,50.0,24027500.0,0.0,0.0,0.0,0.0
821,20230106,WOWS,50.0,0.0,50.0,50.0,50.0,8800.0,0.0,440000.0,6.0,50.0,22025700.0,0.0,0.0,0.0,0.0
823,20230109,WOWS,50.0,0.0,50.0,50.0,50.0,5400.0,0.0,270000.0,5.0,50.0,21927200.0,0.0,0.0,0.0,0.0
824,20230110,WOWS,50.0,0.0,50.0,50.0,50.0,1435200.0,0.0,71760000.0,38.0,50.0,19935900.0,0.0,0.0,0.0,0.0
825,20230111,WOWS,50.0,0.0,50.0,50.0,50.0,300.0,0.0,15000.0,3.0,50.0,22896500.0,0.0,0.0,0.0,0.0
825,20230112,WOWS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,18218600.0,0.0,0.0,0.0,0.0
825,20230113,WOWS,50.0,0.0,50.0,50.0,50.0,420100.0,0.0,21005000.0,8.0,50.0,19672400.0,0.0,0.0,0.0,0.0
825,20230116,WOWS,50.0,0.0,50.0,50.0,50.0,4700.0,0.0,235000.0,6.0,50.0,24522000.0,0.0,0.0,0.0,0.0
825,20230117,WOWS,50.0,0.0,50.0,50.0,50.0,4200.0,0.0,210000.0,4.0,50.0,24536000.0,0.0,0.0,0.0,0.0
825,20230118,WOWS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,19392200.0,0.0,0.0,0.0,0.0
825,20230119,WOWS,50.0,0.0,50.0,50.0,50.0,73200.0,0.0,3660000.0,4.0,50.0,30104300.0,0.0,0.0,0.0,0.0
825,20230120,WOWS,50.0,0.0,50.0,50.0,50.0,36300.0,0.0,1815000.0,9.0,50.0,26601800.0,0.0,0.0,0.0,0.0
826,20230124,WOWS,50.0,0.0,50.0,50.0,50.0,2007700.0,0.0,100385000.0,17.0,50.0,21006300.0,0.0,0.0,0.0,0.0
826,20230125,WOWS,50.0,0.0,50.0,50.0,50.0,10800.0,0.0,540000.0,32.0,50.0,27315600.0,0.0,0.0,0.0,0.0
826,20230126,WOWS,50.0,0.0,50.0,50.0,50.0,92400.0,0.0,4620000.0,7.0,50.0,30811100.0,0.0,0.0,0.0,0.0
827,20230127,WOWS,50.0,0.0,50.0,50.0,50.0,6000.0,0.0,300000.0,12.0,50.0,29204900.0,0.0,0.0,0.0,0.0
827,20230130,WOWS,50.0,0.0,50.0,50.0,50.0,5400.0,0.0,270000.0,40.0,50.0,28818800.0,0.0,0.0,0.0,0.0
827,20230131,WOWS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,4.0,50.0,29447100.0,0.0,0.0,0.0,0.0
828,20230201,WOWS,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,3.0,50.0,22958400.0,0.0,0.0,0.0,0.0
828,20230202,WOWS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,27372600.0,0.0,0.0,0.0,0.0
828,20230203,WOWS,50.0,0.0,50.0,50.0,50.0,600.0,0.0,30000.0,5.0,50.0,27799200.0,0.0,0.0,0.0,0.0
829,20230206,WOWS,50.0,0.0,50.0,50.0,50.0,1300.0,0.0,65000.0,4.0,50.0,29364000.0,0.0,0.0,0.0,0.0
830,20230207,WOWS,50.0,0.0,50.0,50.0,50.0,60100.0,0.0,3005000.0,4.0,50.0,25269100.0,0.0,0.0,0.0,0.0
834,20230208,WOWS,50.0,0.0,50.0,50.0,50.0,51700.0,0.0,2585000.0,8.0,50.0,25556500.0,0.0,0.0,0.0,0.0
834,20230209,WOWS,50.0,0.0,50.0,50.0,50.0,30100.0,0.0,1505000.0,3.0,50.0,22166500.0,0.0,0.0,0.0,0.0
834,20230210,WOWS,50.0,0.0,50.0,50.0,50.0,30900.0,0.0,1545000.0,6.0,50.0,21694100.0,0.0,0.0,0.0,0.0
834,20230213,WOWS,50.0,0.0,50.0,50.0,50.0,12200.0,0.0,610000.0,6.0,50.0,22341800.0,0.0,0.0,0.0,0.0
834,20230214,WOWS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,3.0,50.0,20633300.0,0.0,0.0,0.0,0.0
834,20230215,WOWS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,20273400.0,0.0,0.0,0.0,0.0
835,20230216,WOWS,50.0,0.0,50.0,50.0,50.0,900.0,0.0,45000.0,7.0,50.0,22951400.0,0.0,0.0,0.0,100.0
835,20230217,WOWS,50.0,0.0,50.0,50.0,50.0,700.0,0.0,35000.0,4.0,50.0,20679200.0,0.0,0.0,0.0,0.0
835,20230220,WOWS,50.0,0.0,50.0,50.0,50.0,22100.0,0.0,1105000.0,10.0,50.0,21456800.0,0.0,0.0,0.0,0.0
835,20230221,WOWS,50.0,0.0,50.0,50.0,50.0,20900.0,0.0,1045000.0,7.0,50.0,25073800.0,0.0,0.0,0.0,0.0
835,20230222,WOWS,50.0,0.0,50.0,50.0,50.0,22200.0,0.0,1110000.0,7.0,50.0,21810000.0,0.0,0.0,0.0,0.0
835,20230223,WOWS,50.0,0.0,50.0,50.0,50.0,12900.0,0.0,645000.0,4.0,50.0,22560400.0,0.0,0.0,0.0,0.0
836,20230224,WOWS,50.0,0.0,50.0,50.0,50.0,1500.0,0.0,75000.0,5.0,50.0,21283900.0,0.0,0.0,0.0,0.0
837,20230227,WOWS,50.0,0.0,50.0,50.0,50.0,1000.0,0.0,50000.0,4.0,50.0,20829300.0,0.0,0.0,0.0,0.0
837,20230228,WOWS,50.0,0.0,50.0,50.0,50.0,12800.0,0.0,640000.0,5.0,50.0,23612000.0,0.0,0.0,0.0,0.0
838,20230301,WOWS,50.0,0.0,50.0,50.0,50.0,500.0,0.0,25000.0,3.0,50.0,24127400.0,0.0,0.0,0.0,0.0
838,20230302,WOWS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,18903700.0,0.0,0.0,0.0,0.0
839,20230303,WOWS,50.0,0.0,50.0,50.0,50.0,14000.0,0.0,700000.0,28.0,50.0,19521700.0,0.0,0.0,0.0,0.0
840,20230306,WOWS,50.0,0.0,50.0,50.0,50.0,16200.0,0.0,810000.0,7.0,50.0,20741900.0,0.0,0.0,0.0,0.0
840,20230307,WOWS,50.0,0.0,50.0,50.0,50.0,12500.0,0.0,625000.0,4.0,50.0,22192200.0,0.0,0.0,0.0,10000.0
843,20230308,WOWS,50.0,0.0,50.0,50.0,50.0,1400.0,0.0,70000.0,4.0,50.0,23342700.0,0.0,0.0,0.0,1000.0
843,20230309,WOWS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,1.0,50.0,21567900.0,0.0,0.0,0.0,0.0
844,20230310,WOWS,50.0,0.0,50.0,50.0,50.0,1800.0,0.0,90000.0,4.0,50.0,21780200.0,0.0,0.0,0.0,0.0
844,20230313,WOWS,50.0,0.0,50.0,50.0,50.0,100.0,0.0,5000.0,1.0,50.0,21782200.0,0.0,0.0,0.0,0.0
844,20230314,WOWS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,29800000.0,0.0,0.0,0.0,0.0
844,20230315,WOWS,50.0,0.0,50.0,50.0,50.0,5600.0,0.0,280000.0,4.0,50.0,20376100.0,0.0,0.0,0.0,0.0
844,20230316,WOWS,50.0,0.0,50.0,50.0,50.0,800.0,0.0,40000.0,4.0,50.0,23184300.0,0.0,0.0,0.0,0.0
844,20230317,WOWS,50.0,0.0,50.0,50.0,50.0,200.0,0.0,10000.0,2.0,50.0,19949700.0,0.0,0.0,0.0,0.0
