No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
820,20221230,WTON,191.0,0.0,193.0,190.0,191.0,1797800.0,0.0,343800600.0,716.0,192.0,473000.0,191.0,364400.0,1700.0,115700.0
820,20230102,WTON,191.0,0.0,200.0,191.0,193.0,7630800.0,2.0,1489430100.0,621.0,193.0,426100.0,192.0,119400.0,56400.0,0.0
820,20230103,WTON,193.0,0.0,194.0,192.0,192.0,3000300.0,-1.0,577727000.0,872.0,193.0,824400.0,192.0,522100.0,1300.0,30600.0
820,20230104,WTON,192.0,0.0,194.0,191.0,191.0,1426400.0,-1.0,274632000.0,256.0,192.0,3000.0,191.0,516000.0,0.0,0.0
820,20230105,WTON,191.0,0.0,192.0,184.0,184.0,16243800.0,-7.0,3031539400.0,792.0,185.0,38200.0,184.0,364300.0,21100.0,2300000.0
824,20230106,WTON,184.0,0.0,190.0,183.0,184.0,2624200.0,0.0,484961700.0,417.0,185.0,43400.0,184.0,495900.0,12600.0,0.0
826,20230109,WTON,184.0,0.0,186.0,179.0,179.0,5806800.0,-5.0,1057776400.0,1321.0,183.0,47600.0,179.0,306200.0,200.0,0.0
827,20230110,WTON,179.0,0.0,180.0,167.0,167.0,15574700.0,-12.0,2667729700.0,2320.0,167.0,500000.0,0.0,0.0,17600.0,47300.0
828,20230111,WTON,167.0,0.0,171.0,160.0,160.0,14559300.0,-7.0,2363163800.0,1136.0,161.0,5300.0,160.0,1077000.0,11400.0,67500.0
828,20230112,WTON,160.0,0.0,167.0,160.0,163.0,7630700.0,3.0,1246851100.0,515.0,164.0,60900.0,163.0,410200.0,18100.0,14300.0
828,20230113,WTON,163.0,0.0,168.0,163.0,165.0,4823200.0,2.0,798077600.0,361.0,165.0,6500.0,164.0,769000.0,21800.0,0.0
828,20230116,WTON,165.0,0.0,170.0,165.0,169.0,4121300.0,4.0,697395000.0,423.0,169.0,450400.0,168.0,167800.0,9800.0,585000.0
828,20230117,WTON,169.0,0.0,173.0,168.0,169.0,7800900.0,0.0,1325580700.0,425.0,170.0,272200.0,169.0,1075600.0,0.0,145500.0
828,20230118,WTON,169.0,0.0,171.0,168.0,169.0,5635700.0,0.0,955232500.0,341.0,170.0,527900.0,169.0,876500.0,0.0,900.0
828,20230119,WTON,169.0,0.0,174.0,168.0,173.0,5178600.0,4.0,885277200.0,402.0,173.0,75900.0,172.0,64500.0,0.0,192400.0
828,20230120,WTON,173.0,0.0,174.0,170.0,172.0,2161700.0,-1.0,371577400.0,279.0,173.0,97600.0,172.0,620200.0,0.0,106000.0
829,20230124,WTON,172.0,0.0,174.0,171.0,172.0,3479000.0,0.0,599248100.0,281.0,173.0,106800.0,172.0,389800.0,0.0,0.0
