No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
821,20221230,YELO,61.0,0.0,63.0,57.0,57.0,116366900.0,-4.0,6798380800.0,2977.0,57.0,7659800.0,0.0,0.0,0.0,0.0
821,20230102,YELO,57.0,0.0,57.0,54.0,54.0,42916600.0,-3.0,2327077100.0,2094.0,54.0,4911700.0,0.0,0.0,0.0,100000.0
821,20230103,YELO,54.0,0.0,56.0,51.0,56.0,37148400.0,2.0,1995641100.0,1842.0,56.0,4058000.0,55.0,82800.0,0.0,268200.0
821,20230104,YELO,56.0,0.0,60.0,54.0,56.0,37152100.0,0.0,2116929100.0,2127.0,56.0,396300.0,55.0,2094600.0,58900.0,56600.0
821,20230105,YELO,56.0,0.0,57.0,55.0,55.0,12213500.0,-1.0,678916500.0,771.0,56.0,623100.0,55.0,3371000.0,48500.0,61500.0
825,20230106,YELO,55.0,0.0,59.0,55.0,56.0,48032700.0,1.0,2754179100.0,5858.0,57.0,1173900.0,56.0,34600.0,78900.0,60000.0
827,20230109,YELO,56.0,0.0,63.0,57.0,61.0,159934600.0,5.0,9643714900.0,9386.0,61.0,4214200.0,60.0,1013100.0,0.0,81700.0
828,20230110,YELO,61.0,0.0,62.0,57.0,60.0,17693800.0,-1.0,1058442700.0,1134.0,60.0,1082300.0,59.0,2716100.0,25600.0,23700.0
829,20230111,YELO,60.0,0.0,64.0,59.0,60.0,111787900.0,0.0,6943389500.0,7884.0,61.0,295600.0,60.0,1821800.0,69800.0,46700.0
829,20230112,YELO,60.0,0.0,61.0,58.0,58.0,13393400.0,-2.0,782854500.0,894.0,59.0,2034200.0,58.0,3311600.0,36700.0,44200.0
829,20230113,YELO,58.0,0.0,62.0,57.0,59.0,61447800.0,1.0,3675145600.0,5793.0,60.0,1680900.0,59.0,2473800.0,26500.0,231100.0
829,20230116,YELO,59.0,0.0,62.0,59.0,60.0,17060700.0,1.0,1034176200.0,863.0,61.0,1897000.0,60.0,365700.0,48800.0,0.0
829,20230117,YELO,60.0,0.0,61.0,58.0,59.0,12518700.0,-1.0,743647200.0,624.0,60.0,664400.0,59.0,1673400.0,0.0,26700.0
