No,Date,StockCode,Previous,OpenPrice,High,Low,Close,Volume,Change,Value,Frequency,Offer,OfferVolume,Bid,BidVolume,ForeignSell,ForeignBuy
822,20221230,YPAS,650.0,0.0,655.0,625.0,630.0,10900.0,-20.0,6885500.0,17.0,650.0,4600.0,630.0,2500.0,0.0,0.0
822,20230102,YPAS,630.0,0.0,655.0,645.0,645.0,2200.0,15.0,1420500.0,9.0,645.0,6600.0,630.0,500.0,0.0,0.0
822,20230103,YPAS,645.0,0.0,645.0,625.0,640.0,800.0,-5.0,509500.0,5.0,640.0,1200.0,625.0,2000.0,0.0,0.0
822,20230104,YPAS,640.0,0.0,665.0,630.0,645.0,4300.0,5.0,2751000.0,13.0,645.0,100.0,630.0,2700.0,0.0,0.0
822,20230105,YPAS,645.0,0.0,680.0,640.0,640.0,36300.0,-5.0,23789500.0,38.0,645.0,300.0,640.0,400.0,0.0,0.0
826,20230106,YPAS,640.0,0.0,650.0,645.0,650.0,7600.0,10.0,4902500.0,9.0,660.0,900.0,645.0,6700.0,0.0,0.0
828,20230109,YPAS,650.0,0.0,665.0,635.0,635.0,4300.0,-15.0,2744000.0,13.0,645.0,100.0,635.0,100.0,0.0,0.0
829,20230110,YPAS,635.0,0.0,665.0,630.0,635.0,5700.0,0.0,3624000.0,18.0,645.0,100.0,635.0,100.0,0.0,0.0
830,20230111,YPAS,635.0,0.0,670.0,625.0,645.0,12100.0,10.0,7604000.0,20.0,645.0,1300.0,630.0,400.0,0.0,0.0
830,20230112,YPAS,645.0,0.0,635.0,625.0,625.0,3200.0,-20.0,2008000.0,6.0,645.0,1100.0,625.0,13200.0,0.0,0.0
830,20230113,YPAS,625.0,0.0,675.0,630.0,640.0,8100.0,15.0,5251500.0,29.0,655.0,800.0,640.0,800.0,0.0,0.0
830,20230116,YPAS,640.0,0.0,650.0,625.0,650.0,5500.0,10.0,3461500.0,12.0,650.0,300.0,630.0,500.0,0.0,0.0
830,20230117,YPAS,650.0,0.0,645.0,630.0,630.0,3100.0,-20.0,1958500.0,11.0,645.0,100.0,630.0,3500.0,0.0,0.0
830,20230118,YPAS,630.0,0.0,720.0,635.0,645.0,74700.0,15.0,50792000.0,173.0,655.0,100.0,645.0,100.0,0.0,0.0
830,20230119,YPAS,645.0,0.0,700.0,640.0,645.0,1800.0,0.0,1175500.0,13.0,645.0,700.0,640.0,100.0,0.0,0.0
830,20230120,YPAS,645.0,0.0,675.0,625.0,635.0,6200.0,-10.0,3946000.0,18.0,635.0,1000.0,630.0,1900.0,0.0,0.0
831,20230124,YPAS,635.0,0.0,650.0,630.0,650.0,14300.0,15.0,9079500.0,25.0,650.0,2300.0,640.0,1200.0,0.0,0.0
831,20230125,YPAS,650.0,0.0,665.0,625.0,635.0,3000.0,-15.0,1945500.0,16.0,655.0,800.0,635.0,30200.0,0.0,0.0
831,20230126,YPAS,635.0,0.0,675.0,640.0,640.0,2200.0,5.0,1456000.0,7.0,660.0,3900.0,640.0,1700.0,0.0,0.0
832,20230127,YPAS,640.0,0.0,675.0,640.0,640.0,2300.0,0.0,1525500.0,14.0,650.0,400.0,640.0,34800.0,0.0,0.0
832,20230130,YPAS,640.0,0.0,670.0,630.0,630.0,6600.0,-10.0,4245500.0,24.0,635.0,1300.0,630.0,2000.0,0.0,0.0
832,20230131,YPAS,630.0,0.0,650.0,630.0,650.0,10600.0,20.0,6772500.0,23.0,650.0,400.0,635.0,200.0,0.0,0.0
833,20230201,YPAS,650.0,0.0,660.0,630.0,635.0,11900.0,-15.0,7686500.0,24.0,650.0,1100.0,635.0,8600.0,0.0,0.0
833,20230202,YPAS,635.0,0.0,660.0,635.0,650.0,22500.0,15.0,14733500.0,27.0,650.0,2000.0,640.0,400.0,0.0,0.0
833,20230203,YPAS,650.0,0.0,665.0,640.0,640.0,11200.0,-10.0,7194500.0,16.0,640.0,6400.0,635.0,300.0,0.0,0.0
834,20230206,YPAS,640.0,0.0,650.0,630.0,650.0,200.0,10.0,128000.0,2.0,650.0,3300.0,635.0,100.0,0.0,0.0
835,20230207,YPAS,650.0,0.0,660.0,650.0,650.0,200.0,0.0,131000.0,2.0,655.0,3200.0,635.0,300.0,0.0,0.0
839,20230208,YPAS,650.0,0.0,655.0,650.0,650.0,11300.0,0.0,7351000.0,10.0,650.0,300.0,640.0,300.0,0.0,0.0
839,20230209,YPAS,650.0,0.0,660.0,630.0,635.0,2200.0,-15.0,1408500.0,11.0,650.0,1500.0,630.0,900.0,0.0,0.0
839,20230210,YPAS,635.0,0.0,675.0,630.0,630.0,6100.0,-5.0,3886500.0,24.0,645.0,1500.0,630.0,100.0,0.0,0.0
839,20230213,YPAS,630.0,0.0,645.0,625.0,630.0,1100.0,0.0,690500.0,7.0,635.0,100.0,630.0,200.0,0.0,0.0
839,20230214,YPAS,630.0,0.0,660.0,600.0,655.0,6500.0,25.0,3997500.0,11.0,640.0,200.0,625.0,100.0,0.0,0.0
839,20230215,YPAS,655.0,0.0,665.0,615.0,635.0,3900.0,-20.0,2447000.0,11.0,635.0,1000.0,625.0,800.0,0.0,0.0
840,20230216,YPAS,635.0,0.0,665.0,620.0,625.0,4600.0,-10.0,2931000.0,36.0,645.0,200.0,620.0,800.0,0.0,0.0
840,20230217,YPAS,625.0,0.0,650.0,625.0,635.0,1100.0,10.0,693000.0,6.0,640.0,100.0,635.0,200.0,0.0,100.0
840,20230220,YPAS,635.0,0.0,635.0,625.0,625.0,200.0,-10.0,126000.0,2.0,635.0,100.0,630.0,100.0,0.0,0.0
840,20230221,YPAS,625.0,0.0,680.0,620.0,620.0,2700.0,-5.0,1698000.0,16.0,640.0,100.0,620.0,100.0,0.0,0.0
840,20230222,YPAS,620.0,0.0,720.0,620.0,660.0,9300.0,40.0,6138000.0,49.0,660.0,3500.0,630.0,300.0,0.0,0.0
840,20230223,YPAS,660.0,0.0,705.0,635.0,655.0,3800.0,-5.0,2459000.0,16.0,655.0,4200.0,640.0,100.0,0.0,0.0
841,20230224,YPAS,655.0,0.0,655.0,635.0,635.0,3000.0,-20.0,1908000.0,10.0,645.0,300.0,635.0,1300.0,0.0,0.0
842,20230227,YPAS,635.0,0.0,670.0,630.0,645.0,1300.0,10.0,832000.0,8.0,645.0,1000.0,630.0,1600.0,0.0,0.0
842,20230228,YPAS,645.0,0.0,650.0,620.0,620.0,600.0,-25.0,385500.0,6.0,640.0,300.0,625.0,1000.0,0.0,0.0
843,20230301,YPAS,620.0,0.0,640.0,635.0,635.0,2800.0,15.0,1780000.0,6.0,640.0,1400.0,625.0,6600.0,0.0,0.0
843,20230302,YPAS,635.0,0.0,635.0,605.0,620.0,3100.0,-15.0,1924000.0,8.0,635.0,500.0,620.0,11800.0,0.0,0.0
844,20230303,YPAS,620.0,0.0,640.0,625.0,640.0,1800.0,20.0,1143000.0,5.0,635.0,500.0,620.0,800.0,0.0,0.0
845,20230306,YPAS,640.0,0.0,640.0,625.0,630.0,500.0,-10.0,315500.0,4.0,630.0,1700.0,625.0,2700.0,0.0,0.0
845,20230307,YPAS,630.0,0.0,630.0,590.0,630.0,9000.0,0.0,5325500.0,14.0,630.0,2800.0,610.0,100.0,0.0,0.0
848,20230308,YPAS,630.0,0.0,630.0,615.0,620.0,4300.0,-10.0,2657500.0,11.0,620.0,3000.0,615.0,100.0,0.0,0.0
848,20230309,YPAS,620.0,0.0,640.0,610.0,635.0,600.0,15.0,378000.0,6.0,635.0,1000.0,610.0,400.0,0.0,0.0
849,20230310,YPAS,635.0,0.0,625.0,610.0,625.0,300.0,-10.0,184500.0,2.0,630.0,300.0,610.0,100.0,0.0,0.0
